Date,EEM,EFA,EWC,IEV,EPP,IWB
200401,0.024222593,0.011260426,0.004210526,0.017147311,0.025111755,0.020473234
200402,0.039543086,0.022990151,0.026554857,0.033103448,0.046029548,0.013155731
200403,0.0055019,0.000706007,-0.006807352,-0.03545468,-0.003219244,-0.018016556
200404,-0.098005128,-0.033898305,-0.084304318,-0.018763457,-0.070606778,-0.018016529
200405,0.011683505,0.011403509,0.017215569,0.019749216,0.0075,0.013970712
200406,0.009244481,0.033536427,0.057395143,0.022440824,0.009234905,0.014608234
200407,-0.036377506,-0.042658711,-0.000695894,-0.037883343,0.000684334,-0.033540576
200408,0.035312269,0.011907971,-0.005571031,0.01078125,0.03453317,0.002370069
200409,0.069767312,0.020716075,0.082633053,0.03091668,0.055681562,0.007600068
200410,0.02846082,0.035007097,0.064036223,0.041985305,0.042245969,0.016594033
200411,0.099486612,0.060813844,0.049848024,0.061591596,0.072907935,0.043858203
200412,0.034812419,0.032206763,0.001158078,0.020062356,0.007826096,0.025746328
200501,-0.005301456,-0.019033373,-0.045691151,-0.016079734,-0.004657863,-0.021866338
200502,0.096822344,0.037849237,0.066666667,0.044030254,0.042227251,0.021410579
200503,-0.079104496,-0.026232318,0.014204545,-0.02457956,-0.036882617,-0.021732429
200504,-0.012474871,-0.016177368,-0.061064426,-0.016578249,0.007659008,-0.018433906
200505,0.031610358,-0.008637236,0.027446301,-0.005664194,-0.005839392,0.034510433
200506,0.039689662,0.014327202,0.054006969,0.01044351,0.043103649,0.000155159
200507,0.076814139,0.029967551,0.058402204,0.033154362,0.032928617,0.040955631
200508,0.013229572,0.038361749,0.061946903,0.030271534,0.015940987,-0.009090909
200509,0.086532258,0.036944494,0.057352941,0.015762926,0.044133009,0.006015942
200510,-0.063382497,-0.031841652,-0.072786277,-0.030415891,-0.05380519,-0.022424877
200511,0.057860377,0.023111111,0.0525,0.015377721,0.017419075,0.040067289
200512,0.049348453,0.032667246,0.040380048,0.018524357,-0.006344411,-0.004558153
200601,0.141980576,0.057714959,0.090410959,0.058066114,0.072262086,0.024667651
200602,-0.038498748,-0.006999682,-0.022613065,0.001989235,-0.019848753,0.006775263
200603,0.021671827,0.040051266,0.012425021,0.037603644,0.012052062,0.012170676
200604,0.065151515,0.047905114,0.052052476,0.052110298,0.083754248,0.010326779
200605,-0.111428165,-0.038218433,-0.022526146,-0.029738982,-0.059696729,-0.03066368
200606,0.002135541,-0.00061134,-0.022633745,0.007166483,0.003273492,-0.001877799
200607,0.023428115,0.008105215,0.001263158,0.019704433,0.010624408,0.001157742
200608,0.015817914,0.025485437,0.04079058,0.030059045,0.031444088,0.024429026
200609,-0.008706208,0.002218935,-0.03030303,0.006670141,-0.008046498,0.01933117
