QTDATE,TOTRET
,
,
19600129,1.118
,
,
19600229,2.039
,
,
19600331,2.821
,
,
19600429,-1.698
,
,
19600531,1.517
,
,
19600630,1.726
,
,
19600729,3.675
,
,
19600831,-0.674
,
,
19600930,0.752
,
,
19601031,-0.282
,
,
19601130,-0.661
,
,
19601230,2.79
,
,
19610131,-1.104
,
,
19610228,1.853
,
,
19610330,0.169
,
,
19610428,1.185
,
,
19610531,0.32
,
,
19610630,-2.159
,
,
19610731,0.113
,
,
19610831,-0.876
,
,
19610929,0.826
,
,
19611031,0.585
,
,
19611130,-0.157
,
,
19611229,-0.503
,
,
19620131,-0.11
,
,
19620228,0.938
,
,
19620330,2.534
,
,
19620430,0.939
,
,
19620531,0.457
,
,
19620629,-0.815
,
,
19620731,-1.089
,
,
19620831,1.871
,
,
19620928,0.489
,
,
19621031,0.898
,
,
19621130,0.241
,
,
19621231,0.379
,
,
19630131,-0.011
,
,
19630228,0.075
,
,
19630329,0.087
,
,
19630430,-0.119
,
,
19630531,0.226
,
,
19630628,0.254
,
,
19630731,0.309
,
,
19630830,0.215
,
,
19630930,0.044
,
,
19631031,-0.198
,
,
19631129,0.386
,
,
19631231,-0.001
,
,
19640131,-0.228
,
,
19640228,-0.078
,
,
19640331,0.369
,
,
19640430,0.468
,
,
19640528,0.563
,
,
19640630,0.69
,
,
19640731,0.076
,
,
19640831,0.23
,
,
19640930,0.464
,
,
19641030,0.431
,
,
19641130,0.169
,
,
19641231,0.3
,
,
19650129,0.4
,
,
19650226,0.14
,
,
19650331,0.567
,
,
19650430,0.345
,
,
19650528,0.166
,
,
19650630,0.504
,
,
19650730,0.219
,
,
19650831,-0.16
,
,
19650930,-0.4
,
,
19651029,0.271
,
,
19651130,-0.623
,
,
19651231,-0.712
,
,
19660131,-0.879
,
,
19660228,-2.69
,
,
19660331,3.034
,
,
19660429,-0.693
,
,
19660531,-0.529
,
,
19660630,-0.224
,
,
19660729,-0.37
,
,
19660831,-1.997
,
,
19660930,3.392
,
,
19661031,2.347
,
,
19661130,-1.483
,
,
19661230,4.193
,
,
19670131,1.345
,
,
19670228,-2.335
,
,
19670331,2.182
,
,
19670428,-2.975
,
,
19670531,-0.322
,
,
19670630,-3.253
,
,
19670731,0.822
,
,
19670831,-0.843
,
,
19670929,0.025
,
,
19671031,-4.136
,
,
19671130,-2.039
,
,
19671229,2.15
,
,
19680131,3.199
,
,
19680229,-0.476
,
,
19680329,-1.97
,
,
19680430,2.266
,
,
19680531,0.65
,
,
19680628,1.926
,
,
19680731,2.966
,
,
19680830,0.11
,
,
19680930,-1.308
,
,
19681031,-1.18
,
,
19681129,-2.837
,
,
19681231,-3.255
,
,
19690131,-2.364
,
,
19690228,0.497
,
,
19690328,0.267
,
,
19690430,4.3
,
,
19690529,-5.089
,
,
19690630,1.979
,
,
19690731,1.117
,
,
19690829,-1.007
,
,
19690930,-5.154
,
,
19691031,3.652
,
,
19691128,-2.096
,
,
19691231,-0.94
,
,
19700130,-0.301
,
,
19700227,5.957
,
,
19700331,-0.932
,
,
19700430,-3.969
,
,
19700529,-4.149
,
,
19700630,4.837
,
,
19700731,2.823
,
,
19700831,-0.365
,
,
