Date,IWB,EWJ,EWG,EWU,EWQ,EWC,EWI,EWA,EWY,EWW,EWP,EWN,EWL,ENOR,EWD
1996-04-30,,0.047809,-0.046296,0.030457,0.014218,0.035928,0.134259,0.042683,,0.088235,0.036199,0,-0.020101,,0
1996-05-31,,-0.045627,0.024272,-0.009852,-0.009346,-0.00289,0,-0.005848,,0.005405,-0.008734,0.067669,-0.030769,,0.038288
1996-06-28,,0.011952,0.033175,0.00995,0.028302,-0.02029,0.004082,-0.017647,,0,0.039648,0,0.047619,,0.0282
1996-07-31,,-0.047244,0.009174,0.014778,-0.013761,-0.017751,-0.069106,-0.041916,,-0.096774,-0.033898,-0.021127,-0.025253,,-0.042194
1996-08-30,,-0.053719,-0.004982,0.034369,-0.032588,0.028048,-0.007406,0.03745,,0.102619,0.008877,0.011925,0.018238,,0.0603
1996-09-30,,0.034934,0.018433,0.019139,0.054187,0.041176,0.067873,0,,0,0.022222,0.028986,-0.020513,,0.042735
1996-10-31,,-0.067511,0.004525,0.056338,0.023364,0.084746,-0.063559,0.042945,,-0.059459,0.03913,0.014085,-0.010471,,0.040984
1996-11-29,,0.022624,0.036036,0.048889,0.045662,0.065104,0.085973,0.029412,,0.028736,0.07113,0.069444,0.029101,,0.062992
1996-12-31,,-0.075221,0,0.051695,0.017467,-0.039765,0,0.016229,,0.039106,0.107406,0.016961,-0.012853,,0.015941
1997-01-31,,-0.100478,0,-0.052632,0.012876,0.05102,0.083333,-0.045455,,0.075269,-0.014134,-0.003195,0.03125,,0.018248
1997-02-28,,0.021277,0.034783,0.034188,0.008475,-0.009709,-0.080769,0.02381,,0.03,-0.039427,0.044872,-0.005051,,-0.007168
1997-03-31,,-0.041667,0.037815,0.012397,0.008403,-0.058824,0.012552,-0.005814,,-0.014563,0.037313,-0.006135,0.015228,,0.018051
1997-04-30,,0.059783,-0.020243,0.020408,-0.041667,0.015625,0,0.02924,,0,0.05036,0.003086,0.065,,-0.049645
1997-05-30,,0.097436,0.066116,0.056,0.013043,0.087179,0.008264,0.022727,,0.044335,0.09589,0.073846,0.084507,,0.052239
1997-06-30,,0.056075,0.027132,0.015152,0.077253,0.009434,0.098361,0.033333,,0.122642,0.05625,0.068768,0.073593,,0.092199
1997-07-31,,-0.013274,0.10566,0.052239,0.027888,0.084112,0.05597,-0.005376,,0.151261,-0.056213,0.050938,0.024194,,0.055195
1997-08-29,,-0.098317,-0.108866,-0.027722,-0.078884,-0.061634,-0.043567,-0.068835,,-0.091206,-0.01432,-0.086106,-0.086167,,-0.067422
1997-09-30,,-0.00995,0.088803,0.086792,0.107759,0.055814,0.162264,0.047904,,0.136929,0.131313,0.086957,0.076233,,0.127148
1997-10-31,,-0.095477,-0.056738,-0.034722,-0.058366,-0.057269,-0.064935,-0.125714,,-0.193431,-0.083333,-0.042667,-0.025,,-0.091463
1997-11-28,,-0.066667,0.015038,-0.003597,0.004132,-0.028037,0.020833,-0.029412,,0.104072,0.048701,-0.011142,0.017094,,0.006711
1997-12-31,,-0.059457,0.044444,0.018923,0.042917,0.0294,0.093377,0.010123,,0.086728,0.025887,0.02011,0.037815,,-0.031077
