Date,USA,Japan,Germany,UK,France,Canada,Italy,Australia,Korea,Mexico,Spain,Netherlands,Switzerland,Norway,Sweden
1950-01-01,14416.3,,,,,,,,,,,,,,
1950-04-01,14590.3,,,,,,,,,,,,,,
1950-07-01,14968.8,,,,,,,,,,,,,,
1950-10-01,16182.0,,,,,,,,,,,,,,
1951-01-01,16990.8,,,,,,,,,,,,,,
1951-04-01,18662.8,,,,,,,,,,,,,,
1951-07-01,19121.3,,,,,,,,,,,,,,
1951-10-01,18941.8,,,,,,,,,,,,,,
1952-01-01,19950.0,,,,,,,,,,,,,,
1952-04-01,17757.0,,,,,,,,,,,,,,
1952-07-01,16354.5,,,,,,,,,,,,,,
1952-10-01,16466.5,,,,,,,,,,,,,,
1953-01-01,16188.0,,,,,,,,,,,,,,
1953-04-01,16289.0,,,,,,,,,,,,,,
1953-07-01,16941.8,,,,,,,,,,,,,,
1953-10-01,16383.5,,,,,,,,,,,,,,
1954-01-01,15648.8,,,,,,,,,,,,,,
1954-04-01,17897.0,,,,,,,,,,,,,,
1954-07-01,17322.0,,,,,,,,,,,,,,
1954-10-01,18119.8,,,,,,,,,,,,,,
1955-01-01,18793.0,,,15230.0,,,,,,,,,,,
1955-04-01,18354.8,,,13805.0,,,,,,,,,,,
1955-07-01,19559.5,,,15107.0,,,,,,,,,,,
1955-10-01,19647.5,,,15095.0,,,,,,,,,,,
1956-01-01,20580.3,,,15200.0,,,,,,,,,,,
1956-04-01,21966.8,,,15572.0,,,,,,,,,,,
1956-07-01,22698.0,,,15304.0,,,,,,,,,,,
1956-10-01,23715.0,,,15606.0,,,,,,,,,,,
1957-01-01,25260.3,,,16005.0,,,,,,,,,,,
1957-04-01,24512.0,,,15776.0,,,,,,,,,,,
1957-07-01,23826.8,,,15747.0,,,,,,,,,,,
1957-10-01,23116.8,,,15520.0,,,,,,,,,,,
1958-01-01,20825.5,,,15657.0,,,,,,,,,,,
1958-04-01,20923.0,,,14800.0,,,,,,,,,,,
1958-07-01,20984.0,,,15924.0,,,,,,,,,,,
1958-10-01,20908.5,,,15556.0,,,,,,,,,,,
1959-01-01,22424.3,,,15185.0,,,,,,,,,,,
1959-04-01,22245.3,,,15614.0,,,,,,,,,,,
1959-07-01,24390.5,,,16092.0,,,,6562.0,,,,,,,
1959-10-01,23183.5,,,16517.0,,,,8504.0,,,,,,,
1960-01-01,26171.5,,,16794.0,,,,7301.0,36300.0,,,,,,
1960-04-01,26922.3,,,16459.0,,,,6827.0,44600.0,,,,,,
1960-07-01,27509.0,,,16677.0,,,,6469.0,44600.0,,,,,,
1960-10-01,27655.5,,,16885.0,,,,7049.0,49800.0,,,,,,
1961-01-01,27465.3,,,17424.0,,11665.5,,7901.0,52800.0,,,,,,
1961-04-01,26187.0,,,16957.0,,11536.8,,9231.0,56600.0,,,,,,
1961-07-01,27370.5,,,17112.0,,11898.3,,8036.0,68200.0,,,,,,
1961-10-01,27816.8,,,17139.0,,12150.8,,9175.0,59900.0,,,,,,
1962-01-01,27653.3,,,17029.0,,12266.5,,8730.0,64100.0,,,,,,
1962-04-01,29242.5,,,17531.0,,12308.5,,8860.0,69800.0,,,,,,
1962-07-01,29191.3,,,17418.0,,12108.8,,7607.0,62400.0,,,,,,
1962-10-01,28247.0,,,17528.0,,12758.3,,8986.0,78500.0,,,,,,
1963-01-01,28676.0,,,17806.0,,12867.5,,8748.0,82000.0,,,,,,
1963-04-01,30968.3,,,18038.0,,13156.8,,8686.0,73900.0,,,,,,
1963-07-01,30813.3,,,18171.0,,13247.5,,9340.0,90300.0,,,,,,
1963-10-01,32017.5,,,18513.0,,14520.3,,10438.0,68600.0,,,,,,
1964-01-01,33636.8,,,18556.0,,14758.5,,9830.0,91400.0,,,,,,
1964-04-01,33499.5,,,18771.0,,15715.8,,10030.0,105300.0,,,,,,
1964-07-01,34548.3,,,18345.0,,15476.5,,9070.0,103000.0,,,,,,
1964-10-01,35243.8,,,18939.0,,15151.8,,10103.0,106300.0,,,,,,
1965-01-01,31141.8,,,18917.0,,15277.8,,9850.0,111600.0,,,,,,
1965-04-01,36354.8,,,19248.0,,15494.8,,10511.0,128900.0,,,,,,
1965-07-01,35547.0,,,19378.0,,16111.5,,10113.0,150600.0,,,,,,
1965-10-01,37719.5,,,19944.0,,16990.0,,10237.0,163300.0,,,,,,
1966-01-01,36790.0,,,19921.0,,17259.8,,9546.0,185100.0,,,,,,
1966-04-01,37895.8,,,19610.0,,17568.8,,10212.0,187600.0,,,,,,
1966-07-01,37442.8,,,20402.0,,18636.8,,10584.0,206200.0,,,,,,
1966-10-01,38373.8,,,21239.0,,18795.8,,10554.0,213400.0,,,,,,
1967-01-01,38845.0,,,21144.0,,19123.5,,11178.0,227400.0,,,,,,
1967-04-01,38328.5,,,20410.0,,20341.3,,12190.0,240700.0,,,,,,
1967-07-01,38021.0,,,20559.0,,20248.0,,11485.0,258200.0,,,,,,
1967-10-01,38738.0,,,19182.0,,20305.8,,12190.0,303500.0,,,,,,
1968-01-01,39826.3,,,22274.0,,21367.0,,11096.0,315300.0,,,,,,
1968-04-01,40492.5,,,21923.0,,22129.8,,11872.0,343400.0,,,,,,
1968-07-01,43371.8,,,23313.0,,22704.5,,11878.0,346900.0,,,,,,
1968-10-01,42407.8,,,23568.0,,23650.3,,13551.0,415400.0,,,,,,
1969-01-01,37478.3,,,23512.0,,23919.8,,11739.0,424100.0,,,,,,
1969-04-01,45691.5,,,24759.0,,23671.3,,12517.0,462800.0,,,,,,
1969-07-01,44927.0,,,25608.0,,23985.8,,14094.0,524100.0,,,,,,
1969-10-01,46102.3,,,25737.0,,25452.3,,14711.0,528900.0,,,,,,
1970-01-01,46710.5,,,25935.0,,26393.8,,14502.0,615900.0,,,,,,
1970-04-01,48520.5,,,25565.0,,26383.0,,14537.0,609600.0,,,,,,
1970-07-01,48714.8,,,25341.0,,26636.8,,15367.0,636700.0,,,,,,
1970-10-01,48815.8,,,27774.0,,26515.8,,16148.0,673300.0,,,,,,
1971-01-01,49261.5,,,26488.0,,27010.3,,15339.0,715500.0,,,,,,
1971-04-01,48897.0,,,28331.0,,27413.8,,16585.0,772600.0,,,,,,
1971-07-01,51341.3,,,28537.0,,28774.8,,16596.0,800400.0,,,,,,
1971-10-01,46601.8,,,28422.0,,27887.3,,17320.0,860100.0,,,,,,
1972-01-01,51899.0,,,27952.0,,28230.5,,17270.0,946100.0,,,,,,
1972-04-01,50384.5,,,28113.0,,30508.3,,17003.0,1054700.0,,,,,,
1972-07-01,53422.3,,,25942.0,,29612.8,,16603.0,1213000.0,,,,,,
1972-10-01,55681.3,,,30962.0,,32316.3,,18465.0,1286100.0,,,,,,
1973-01-01,59754.5,,,30686.0,,33632.8,,17900.0,1517500.0,,,,,,
1973-04-01,62633.3,,,31399.0,,33907.5,,16595.0,1660800.0,,,,,,
1973-07-01,62844.3,,,32184.0,,32200.3,,16582.0,1715400.0,,,,,,
1973-10-01,65935.8,,,32433.0,,33088.0,,17374.0,1895300.0,,,,,,
1974-01-01,66790.8,,,33233.0,,32008.3,,15544.0,1854800.0,,,,,,
1974-04-01,70047.8,,,34288.0,,31662.5,,15858.0,1911300.0,,,,,,
1974-07-01,66273.8,,,34536.0,,32183.3,,17291.0,1757500.0,,,,,,
1974-10-01,68005.0,,,33838.0,,30981.0,,18071.0,1557200.0,,,,,,
1975-01-01,68479.3,,,33589.0,,28891.3,,17829.0,1725300.0,,,,,,
1975-04-01,66483.0,,,32264.0,,29238.8,,18560.0,1972800.0,,,,,,
1975-07-01,65361.5,,,32206.0,,29142.5,,18155.0,2372600.0,,,,,,
1975-10-01,69057.0,,,33821.0,,29051.8,,18524.0,2521500.0,,,,,,
1976-01-01,68580.3,,,34455.0,,29963.3,,18528.0,2702600.0,,,,,,
1976-04-01,69271.8,,,35754.0,,31674.0,,19347.0,2968100.0,,,,,,
1976-07-01,71284.3,,,36029.0,,32410.8,,20830.0,3112600.0,,,,,,
1976-10-01,72007.5,,,37296.0,,31382.3,,20406.0,3170600.0,,,,,,
1977-01-01,70848.8,,,37327.0,,32684.0,,19293.0,3374200.0,,,,,,
1977-04-01,72758.0,,,38143.0,,33329.8,,19352.0,3617600.0,,,,,,
1977-07-01,73322.5,,,39518.0,,33533.5,,19896.0,3621000.0,,,,,,
1977-10-01,70971.8,,,38015.0,,33992.5,,21060.0,3958100.0,,,,,,
1978-01-01,72647.5,,,38326.0,,35409.0,,20280.0,4071300.0,,,,,121807.0,
1978-04-01,80221.0,,,38992.0,,36529.5,,20444.0,4136500.0,,,,,146230.0,
1978-07-01,81101.3,,,39138.0,,37110.8,,20418.0,4293000.0,,,,,129185.0,
1978-10-01,84320.3,,,39072.0,,37848.5,,21595.0,4531900.0,,,,,132809.0,
1979-01-01,84386.3,,,36084.0,,38725.5,,22802.0,4221200.0,,,,,131538.99999999997,
1979-04-01,84606.3,,,42558.0,,37171.3,,22661.0,4301900.0,,,,,132422.0,
1979-07-01,87651.0,,,41059.0,,38470.5,,22528.0,4515900.0,,,,,137700.0,
1979-10-01,93166.0,,,41365.0,,38136.5,,24864.0,4502500.0,,,,,139699.0,
1980-01-01,95766.0,,,41929.0,37027.449450374,39237.0,,23559.0,4479400.0,,,,26012.388698,149663.0,
1980-04-01,97571.5,,,40209.0,36641.164685177,37599.8,,22707.0,4628100.0,,,,26387.972965,142926.0,
1980-07-01,97363.8,,,39182.0,35931.928451704,37818.3,,22234.0,4718600.0,,,,26827.023599,132229.00000000003,
1980-10-01,96774.0,,,38915.0,36416.065577948,39500.3,,22544.0,5209100.0,,,,27322.073969,141040.0,
1981-01-01,98594.0,,,38608.0,36894.014412584,38791.5,,21598.0,5516400.0,,,,28517.375318,140720.0,
1981-04-01,99127.0,,,39083.0,38296.726074341,39859.3,,22735.0,5511300.0,,,,29598.719368,146976.0,
1981-07-01,97015.3,,,40887.0,39186.292992943,38926.5,,21895.0,5356900.0,,,,32279.808369,145478.0,
1981-10-01,97460.5,,,40688.0,38641.433255299,39204.0,,21158.0,5289500.0,,,,32210.541769000003,142882.0,
1982-01-01,93230.8,,,39770.0,37979.382745335,38376.3,,23698.0,5493200.0,,,,30844.7328,143141.0,
1982-04-01,93787.0,,,40610.0,37345.179547605,39099.3,,24464.0,5676500.0,,,,30069.779325,143607.0,
1982-07-01,89628.0,,,39781.0,37223.154172467,40282.5,,23677.0,5486000.0,,,,29292.932052,147770.0,
1982-10-01,85520.8,,,40486.0,38358.222222192,36909.8,,23655.0,5462300.0,,,,30001.984447,144105.0,
1983-01-01,86900.3,,,40357.0,38099.474279346,37928.5,,21877.0,5914200.0,,,,28910.610192,150046.0,
1983-04-01,87160.3,,,40310.0,39151.290468537,40515.5,,22481.0,6060000.0,,,,28856.244795,155514.0,
1983-07-01,88470.5,,,41098.0,40192.567223584,41076.5,,22639.0,6731900.0,,,,29079.273983,156969.0,
1983-10-01,90250.8,,,41726.0,40904.89760286,44057.0,,24776.0,7052400.0,,,,30084.085387,157125.0,
1984-01-01,92134.5,,,42687.0,41332.663260241,46222.0,,24956.0,6990100.0,,,,31550.095991,165711.0,
1984-04-01,94424.5,,,42588.0,42217.105499855,47720.3,,26316.0,7009000.0,,,,33966.444325,163377.0,
1984-07-01,96510.5,,,43887.0,42995.863321858,50433.3,,27806.0,7313800.0,,,,34935.584125,167785.0,
1984-10-01,98474.3,,,44853.0,42824.234921802,49713.0,,27349.0,7696400.0,,,,34875.003855,170195.0,
1985-01-01,98735.3,,,45257.0,42899.65472577,50091.5,,28618.0,7085500.0,,,,35993.001487,172797.0,
1985-04-01,98523.5,,,46990.0,43821.130022974,50532.0,,30150.0,7323600.0,,,,35880.183126,174946.0,
1985-07-01,97086.5,,,45662.0,43033.766607955,50782.3,,29241.0,7548800.0,,,,35884.332136,182083.0,
1985-10-01,99983.0,,,45944.0,43726.275115676,51494.8,,29954.0,7426900.0,,,,38399.769662,186038.0,
1986-01-01,103114.8,,,46937.0,43140.514638187,51814.8,,29252.0,8794100.0,,,,38272.856631,186250.0,
1986-04-01,104224.8,,,47610.0,42518.688023673,52292.8,,29787.0,9698400.0,,,,39719.189081,167024.0,
1986-07-01,106610.3,,,47659.0,43223.089654327,54057.8,,30987.0,10407100.0,,,,35735.22055,185170.0,
1986-10-01,110593.3,,,48954.0,42539.476815792,53917.8,,32746.0,10777400.0,,,,34531.217665,193329.0,
1987-01-01,110691.8,,,50280.0,42352.861146999,54431.0,,32131.0,11286600.0,,,,35364.931749,184219.0,
1987-04-01,115252.0,,,49855.0,43455.247281671,53676.5,,34222.0,12798700.0,,,,35226.989938,187519.0,
1987-07-01,120254.8,,,51694.0,44667.088824154,54520.5,,34508.0,12382800.0,,,,35905.320792,182580.0,
1987-10-01,124741.0,,,51486.0,45801.86679771,56245.8,,36320.0,12904200.0,,,,38116.368793,184404.0,
1988-01-01,131668.3,,,50622.0,46267.535741187,59271.8,,36495.0,13602600.0,,,,38665.774732,194735.0,
1988-04-01,135358.0,,,51653.0,47046.680331415,60254.8,,33756.0,13375600.0,,,,37329.510127,191680.0,
1988-07-01,138025.3,,,51954.0,48364.979827962,58860.3,,34673.0,13693700.0,,,,39091.664392,195993.0,
1988-10-01,142238.3,,,50899.0,49080.597737155,60369.8,,35656.0,13971100.0,,,,40624.914957,202144.0,
1989-01-01,146486.5,,,53240.0,51292.718602784,61434.5,,35245.0,13274400.0,,,,40954.169824,215057.0,
1989-04-01,152900.0,,,52396.0,52590.132615154,59068.0,,36968.0,12894900.0,,,,41564.218005,213744.0,
1989-07-01,154462.0,,,53714.0,52426.43296372,59401.3,,36689.0,13080500.0,,,,41133.87658,224356.0,
1989-10-01,156800.0,,,55182.0,54032.488020023,60984.0,,36304.0,13389900.0,,,,41300.084935,219045.0,
1990-01-01,163609.8,,,56416.0,54994.38059679,61913.3,,38072.0,13410200.0,,,,42110.516736,228932.0,
1990-04-01,165644.3,,,56289.0,53744.248999984,64166.8,,38134.0,13603400.0,,,,43587.874966,233885.0,
1990-07-01,166898.0,,,56222.0,54566.905015579,63794.8,,39641.0,14198800.0,,,,41154.661934,235957.0,
1990-10-01,168367.5,,,56686.0,55286.100530857,62101.5,,40268.0,14105500.0,,,,41345.702701,244098.0,
1991-01-01,169396.0,,103862.8362413,54536.0,55834.924642813,60834.5,,41995.0,14846900.0,,,,42734.402961,247899.0,
1991-04-01,175572.3,,97851.165728901,56343.0,57463.799024419,63524.8,,44090.0,15707800.0,,,,40733.861654,251129.0,
1991-07-01,179728.5,,102606.15897619,57213.0,59005.747247348,65961.8,,45078.0,14950400.0,,,,40965.255095,249955.0,
1991-10-01,183775.5,,102945.80613422,57043.0,60388.153577268,65853.0,,45239.0,16573400.0,,,,41156.293038,252288.0,
1992-01-01,187098.0,,103904.67031695,57660.0,61574.371724813,66432.3,,44914.0,16738200.0,,,,43221.977869,263072.99999999994,
1992-04-01,187187.0,,99116.902419949,59079.0,62032.111919668,68311.5,,46457.0,17207200.0,,,,43476.986991,260082.0,
1992-07-01,191153.8,,101833.35263417,57901.0,61246.102193437,69355.0,,47358.0,17581800.0,,,,42614.495865,264221.0,
1992-10-01,192112.0,,97283.291828838,60214.0,60756.550312037,71252.5,,48786.0,18077900.0,,,,42486.928557,261022.0,
1993-01-01,192540.8,,95279.388902775,60915.0,61636.254640889,73833.3,,49013.0,18356700.0,445339.9,,,44233.469414,259423.99999999997,178566.0
1993-04-01,194842.0,,93377.866099663,60080.0,60010.957865369,75948.3,,49995.0,18795400.0,444944.0,,,42736.029807,272950.0,180902.0
1993-07-01,194318.3,,93717.427159664,61130.0,61108.509397223,76531.5,,51620.0,19580200.0,456623.7,,,41190.558139,269783.00000000006,192299.0
1993-10-01,200581.3,,95584.989073552,62819.0,63291.139185659,78760.8,,52656.0,19876300.0,484335.2,,,42469.264253,278859.0,192426.0
1994-01-01,202550.3,37755.9,98505.826442214,65157.0,63291.816030054,79275.8,,54221.0,20839800.0,481254.4,,,43194.417107,288124.0,201300.0
1994-04-01,209388.8,37963.7,103327.545662,65365.0,65487.595938156,84909.3,,55173.0,21911500.0,492906.1,,,42449.297341,290703.0,206911.0
1994-07-01,217225.8,38658.2,102852.16017799,67296.0,67240.139459859,88256.5,,54728.0,23014200.0,511311.8,,,42648.139326,287532.0,209539.0
1994-10-01,222240.5,38820.4,103531.27273155,69024.0,70637.511552469,91753.5,,55300.0,24707700.0,524277.1,,,44829.186432,304430.0,225025.0
1995-01-01,226521.5,39311.6,107453.49714283,71986.0,71789.790788229,94289.3,,56738.0,26015700.0,631210.3,35032.0,,44576.208453,304490.0,234497.0
1995-04-01,229697.8,39897.5,108506.31340812,71050.0,73679.153569695,92252.0,,56333.0,27682000.0,607286.5,34988.0,,44480.723905,303097.0,235661.0
1995-07-01,239637.8,40273.5,109321.37474949,73412.0,72840.833440969,92347.5,,59256.0,28496900.0,630389.7,35984.0,,44314.43776,311118.0,234346.0
1995-10-01,243058.3,40157.8,111087.36012203,74435.0,73193.469370549,95833.0,,59338.0,29048000.0,651284.6,36527.0,,44893.217426,315151.0,236858.0
1996-01-01,245983.5,40800.5,112530.6883476,76029.0,74622.868039864,96102.0,76440.162450364,62634.0,30303800.0,701123.0,37843.0,57252.54,46090.733771,333724.0,238943.0
1996-04-01,249982.0,40751.5,113073.97647716,77203.0,74514.57293673,99831.5,76122.391599544,64091.0,29355500.0,723091.8,38335.0,56935.97,44668.405615,337893.0,245697.0
1996-07-01,252003.8,41971.4,115994.20159317,78137.0,75610.770779795,101912.8,76031.017061072,63319.0,30352800.0,748401.3,39973.0,58409.09,45635.974893,344310.0,244486.0
1996-10-01,267716.0,43759.0,121155.54883808,80171.0,78632.881001634,99190.3,77103.41065796,65450.0,32565900.0,774232.3,40593.0,59371.7,47107.701264,342235.0,254035.0
1997-01-01,272805.8,45099.1,123287.72826094,86171.0,81172.207786018,104807.0,77692.079024186,67670.0,32774700.0,778403.6,42076.0,61932.76,50517.810704,363416.0,265240.0
1997-04-01,283710.5,47011.2,127124.55299388,87379.0,84534.480662166,106139.0,80165.928418811,75582.0,36522700.0,787253.7,43592.0,63155.78,51701.069494,365492.0,279881.0
1997-07-01,290275.0,46382.7,133915.40110245,86676.0,87376.93704327,109193.8,81339.94416596,72103.0,37821400.0,812027.2,46918.0,64893.15999999999,52832.60621,368605.0,284307.0
1997-10-01,289857.8,47395.6,135714.95513986,89670.0,89682.655819465,111164.3,82415.089436384,70697.0,38398100.0,831097.0,46715.0,65923.61,55675.090319,365427.0,293834.0
1998-01-01,291196.8,46178.2,138763.46631911,90218.0,91657.204302593,114783.5,84263.644741159,69677.0,41516200.0,846837.4,47285.0,66139.96,53801.857097,381480.0,296784.0
1998-04-01,287987.5,45261.6,141140.72856479,90333.0,93021.915986197,116075.0,83792.15971347,71999.0,41451000.0,868547.0,49094.0,67719.83,55194.978312,374064.0,299316.0
1998-07-01,286676.8,45432.2,139680.40076171,90072.0,94034.281816389,118430.0,81502.767331087,71767.0,41033500.0,859682.4,48765.0,68529.38,53408.186503,362334.0,308460.0
1998-10-01,297337.3,44607.6,137337.11853815,89829.0,94327.25874719,123074.5,79899.585397534,73238.0,42710300.0,898075.8,48763.0,69877.75,53580.477592,364243.0,316998.0
