Date,USA,Japan,Germany,UK,France,Canada,Italy,Australia,Korea,Mexico,Spain,Netherlands,Switzerland,Norway,Sweden
1971-01-01,,358.02,,2.4058,,1.0118,,1.1181,,,,,4.3053,7.1411,5.1639
1971-02-01,,357.545,,2.4178,,1.0075,,1.1238,,,,,4.2981,7.1425,5.1726
1971-03-01,,357.5187,,2.4187,,1.0064,,1.1243,,,,,4.3003,7.1377,5.1628
1971-04-01,,357.5032,,2.4179,,1.0077,,1.1238,,,,,4.2987,7.1287,5.163
1971-05-01,,357.413,,2.4187,,1.0087,,1.1243,,,,,4.1242,7.1145,5.166
1971-06-01,,357.4118,,2.4188,,1.0213,,1.1243,,,,,4.0938,7.1111,5.1625
1971-07-01,,357.4043,,2.4185,,1.0213,,1.1241,,,,,4.0946,7.1059,5.1623
1971-08-01,,355.78,,2.4346,,1.013,,1.1316,,,,,4.0306,7.0219,5.1279
1971-09-01,,338.021,,2.4694,,1.013,,1.1478,,,,,3.9812,6.8993,5.0681
1971-10-01,,331.1105,,2.4896,,1.0047,,1.1577,,,,,3.975,6.8498,5.0217
1971-11-01,,328.752,,2.4933,,1.0039,,1.1589,,,,,3.9834,6.8595,5.0028
1971-12-01,,320.0727,,2.5266,,0.9993,,1.1748,,,,,3.9041,6.7496,4.8939
1972-01-01,,312.72,,2.5705,,1.0059,,1.191,,,,,3.8922,6.7056,4.8238
1972-02-01,,305.187,,2.6037,,1.0047,,1.191,,,,,3.8611,6.6538,4.7944
1972-03-01,,302.5365,,2.6181,,0.9985,,1.191,,,,,3.8567,6.5959,4.772
1972-04-01,,303.5605,,2.6102,,0.9957,,1.191,,,,,3.8509,6.6003,4.7831
1972-05-01,,304.3795,,2.6124,,0.9889,,1.191,,,,,3.8605,6.573,4.7546
1972-06-01,,302.4145,,2.5691,,0.9795,,1.191,,,,,3.7998,6.5349,4.7391
1972-07-01,,301.0305,,2.4447,,0.984,,1.191,,,,,3.765,6.5076,4.7316
1972-08-01,,301.1609,,2.4502,,0.9824,,1.1911,,,,,3.7808,6.5211,4.7258
1972-09-01,,301.119,,2.441,,0.983,,1.191,,,,,3.7874,6.5751,4.7292
1972-10-01,,301.011,,2.3948,,0.9827,,1.1907,,,,,3.7977,6.6046,4.7442
1972-11-01,,300.9885,,2.3515,,0.9874,,1.1909,,,,,3.7956,6.6034,4.7448
1972-12-01,,301.2405,,2.3449,,0.9968,,1.2074,,,,,3.77,6.5847,4.7438
1973-01-01,,301.7882,,2.3563,,0.9993,,1.2716,,,,,3.7293,6.6101,4.7411
1973-02-01,,278.4206,,2.4272,,0.9956,,1.3546,,,,,3.417,6.2437,4.5624
1973-03-01,,261.9014,,2.4724,,0.9967,,1.4129,,,,,3.2171,5.899,4.4294
1973-04-01,,265.4914,,2.4837,,1.0007,,1.415,,,,,3.2406,5.9155,4.5124
1973-05-01,,264.6505,,2.5306,,1.0008,,1.415,,,,,3.1728,5.8093,4.4328
1973-06-01,,264.4981,,2.5762,,0.9984,,1.4158,,,,,3.0532,5.4986,4.2121
1973-07-01,,264.5538,,2.5375,,0.9995,,1.4178,,,,,2.8233,5.2827,4.0438
1973-08-01,,265.22,,2.4757,,1.0039,,1.4148,,,,,2.9733,5.5134,4.1557
1973-09-01,,265.4747,,2.4183,,1.0083,,1.4683,,,,,3.017,5.541,4.2072
1973-10-01,,266.3348,,2.4292,,1.0011,,1.4823,,,,,3.0288,5.4694,4.1769
