Date,USA,Japan,Germany,UK,France,Canada,Italy,Australia,Korea,Mexico,Spain,Netherlands,Switzerland,Norway,Sweden
1947-01-01,2182.681,,,,,,,,,,,,,,
1947-04-01,2176.892,,,,,,,,,,,,,,
1947-07-01,2172.432,,,,,,,,,,,,,,
1947-10-01,2206.452,,,,,,,,,,,,,,
1948-01-01,2239.682,,,,,,,,,,,,,,
1948-04-01,2276.69,,,,,,,,,,,,,,
1948-07-01,2289.77,,,,,,,,,,,,,,
1948-10-01,2292.364,,,,,,,,,,,,,,
1949-01-01,2260.807,,,,,,,,,,,,,,
1949-04-01,2253.128,,,,,,,,,,,,,,
1949-07-01,2276.424,,,,,,,,,,,,,,
1949-10-01,2257.352,,,,,,,,,,,,,,
1950-01-01,2346.104,,,,,,,,,,,,,,
1950-04-01,2417.682,,,,,,,,,,,,,,
1950-07-01,2511.127,,,,,,,,,,,,,,
1950-10-01,2559.214,,,,,,,,,,,,,,
1951-01-01,2593.967,,,,,,,,,,,,,,
1951-04-01,2638.898,,,,,,,,,,,,,,
1951-07-01,2693.259,,,,,,,,,,,,,,
1951-10-01,2699.156,,,,,,,,,,,,,,
1952-01-01,2727.954,,,,,,,,,,,,,,
1952-04-01,2733.8,,,,,,,,,,,,,,
1952-07-01,2753.517,,,,,,,,,,,,,,
1952-10-01,2843.941,,,,,,,,,,,,,,
1953-01-01,2896.811,,,,,,,,,,,,,,
1953-04-01,2919.206,,,,,,,,,,,,,,
1953-07-01,2902.785,,,,,,,,,,,,,,
1953-10-01,2858.845,,,,,,,,,,,,,,
1954-01-01,2845.192,,,,,,,,,,,,,,
1954-04-01,2848.305,,,,,,,,,,,,,,
1954-07-01,2880.482,,,,,,,,,,,,,,
1954-10-01,2936.852,,,,,,,,,,,,,,
1955-01-01,3020.746,,,121747.0,,,,,,,,,,,
1955-04-01,3069.91,,,121765.0,,,,,,,,,,,
1955-07-01,3111.379,,,124204.0,,,,,,,,,,,
1955-10-01,3130.068,,,123527.0,,,,,,,,,,,
1956-01-01,3117.922,,,124881.0,,,,,,,,,,,
1956-04-01,3143.694,,,124751.0,,,,,,,,,,,
1956-07-01,3140.874,,,124594.0,,,,,,,,,,,
1956-10-01,3192.57,,,125329.0,,,,,,,,,,,
1957-01-01,3213.011,,,127685.0,,,,,,,,,,,
1957-04-01,3205.97,,,127644.0,,,,,,,,,,,
1957-07-01,3237.386,,,126847.0,,,,,,,,,,,
1957-10-01,3203.894,,,127203.0,,,,,,,,,,,
1958-01-01,3120.724,,,130017.0,,,,,,,,,,,
1958-04-01,3141.224,,,126750.0,,,,,,,,,,,
1958-07-01,3213.884,,,129561.0,,,,,,,,,,,
1958-10-01,3289.032,,,129911.0,,,,,,,,,,,
1959-01-01,3352.129,,,130713.0,,,,,,,,,,,
1959-04-01,3427.667,,,132823.0,,,,,,,,,,,
1959-07-01,3430.057,,,135648.0,,,,74022.0,,,,,,,
1959-10-01,3439.832,,,139094.0,,,,74685.0,,,,,,,
1960-01-01,3517.181,,,142565.0,,,,75059.0,7059600.0,,,,,,
1960-04-01,3498.246,,,141565.0,,,,77125.0,7377000.0,,,,,,
1960-07-01,3515.385,,,143674.0,,,,77299.0,7295000.0,,,,,,
1960-10-01,3470.278,,,144509.0,,,,77150.0,7338500.0,,,,,,
1961-01-01,3493.703,,,146876.0,,90980.8,,77381.0,7573400.0,,,,,,
1961-04-01,3553.021,,,147484.0,,93284.5,,76533.0,7900300.0,,,,,,
1961-07-01,3621.252,,,146753.0,,95554.5,,75983.0,7756100.0,,,,,,
1961-10-01,3692.289,,,146476.0,,96854.5,,76846.0,7856700.0,,,,,,
1962-01-01,3758.147,,,147109.0,,99431.8,,79003.0,8013200.0,,,,,,
1962-04-01,3792.149,,,148500.0,,100222.0,,80521.0,7863500.0,,,,,,
1962-07-01,3838.776,,,149408.0,,101503.8,,81168.0,8093700.0,,,,,,
1962-10-01,3851.421,,,148870.0,,103495.5,,82627.0,8326800.0,,,,,,
1963-01-01,3893.482,,,149550.0,,104151.8,,84535.0,8814700.0,,,,,,
1963-04-01,3937.183,,,156027.0,,105666.5,,83440.0,8606800.0,,,,,,
1963-07-01,4023.755,,,156716.0,,106469.5,,86863.0,8890400.0,,,,,,
1963-10-01,4050.147,,,160273.0,,109801.5,,88723.0,8898700.0,,,,,,
1964-01-01,4135.553,,,161333.0,,112550.3,,88579.0,9430000.0,,,,,,
1964-04-01,4180.592,,,164347.0,,112971.8,,90764.0,9158900.0,,,,,,
1964-07-01,4245.918,,,164952.0,,114177.5,,91327.0,9782200.0,,,,,,
1964-10-01,4259.046,,,167430.0,,114750.3,,93921.0,10175400.0,,,,,,
1965-01-01,4362.111,,,166975.0,,118400.5,,94711.0,10305500.0,,,,,,
1965-04-01,4417.225,,,167074.0,,119484.5,,96195.0,10328800.0,,,,,,
1965-07-01,4515.427,,,168424.0,,121152.0,,95912.0,10247100.0,,,,,,
1965-10-01,4619.458,,,169502.0,,124121.3,,96144.0,10486100.0,,,,,,
1966-01-01,4731.888,,,169749.0,,126536.5,,95867.0,11128800.0,,,,,,
