Date,USA,Japan,Germany,UK,France,Canada,Italy,Australia,Korea,Mexico,Spain,Netherlands,Switzerland,Norway,Sweden
1950-01-01,14893.8,,,,,,,,,,,,,,
1950-04-01,15715.8,,,,,,,,,,,,,,
1950-07-01,19393.3,,,,,,,,,,,,,,
1950-10-01,19429.8,,,,,,,,,,,,,,
1951-01-01,19431.0,,,,,,,,,,,,,,
1951-04-01,18787.0,,,,,,,,,,,,,,
1951-07-01,17196.0,,,,,,,,,,,,,,
1951-10-01,16746.3,,,,,,,,,,,,,,
1952-01-01,18689.3,,,,,,,,,,,,,,
1952-04-01,18592.8,,,,,,,,,,,,,,
1952-07-01,19730.3,,,,,,,,,,,,,,
1952-10-01,21499.3,,,,,,,,,,,,,,
1953-01-01,20969.3,,,,,,,,,,,,,,
1953-04-01,22056.8,,,,,,,,,,,,,,
1953-07-01,21972.8,,,,,,,,,,,,,,
1953-10-01,20892.0,,,,,,,,,,,,,,
1954-01-01,19685.5,,,,,,,,,,,,,,
1954-04-01,21456.0,,,,,,,,,,,,,,
1954-07-01,20161.8,,,,,,,,,,,,,,
1954-10-01,20353.0,,,,,,,,,,,,,,
1955-01-01,21555.8,,,13126.0,,,,,,,,,,,
1955-04-01,22778.0,,,12190.0,,,,,,,,,,,
1955-07-01,23161.3,,,13532.0,,,,,,,,,,,
1955-10-01,24000.5,,,13233.0,,,,,,,,,,,
1956-01-01,25008.0,,,13195.0,,,,,,,,,,,
1956-04-01,24877.8,,,12997.0,,,,,,,,,,,
1956-07-01,25094.0,,,13054.0,,,,,,,,,,,
1956-10-01,23942.8,,,12824.0,,,,,,,,,,,
1957-01-01,25847.8,,,13515.0,,,,,,,,,,,
1957-04-01,26049.5,,,13087.0,,,,,,,,,,,
1957-07-01,25546.5,,,13564.0,,,,,,,,,,,
1957-10-01,25632.8,,,13035.0,,,,,,,,,,,
1958-01-01,26012.0,,,13018.0,,,,,,,,,,,
1958-04-01,27124.3,,,13067.0,,,,,,,,,,,
1958-07-01,26715.8,,,13787.0,,,,,,,,,,,
1958-10-01,28121.0,,,13747.0,,,,,,,,,,,
1959-01-01,28860.0,,,13582.0,,,,,,,,,,,
1959-04-01,30264.3,,,14303.0,,,,,,,,,,,
1959-07-01,30553.0,,,14144.0,,,,3912.0,,,,,,,
1959-10-01,29777.3,,,14921.0,,,,4150.0,,,,,,,
1960-01-01,30902.0,,,15403.0,,,,4268.0,411000.0,,,,,,
1960-04-01,31131.8,,,16004.0,,,,4605.0,368900.0,,,,,,
1960-07-01,30214.3,,,16005.0,,,,4844.0,301700.0,,,,,,
1960-10-01,28789.0,,,16133.0,,,,5004.0,340900.0,,,,,,
1961-01-01,28649.8,,,16181.0,,10125.5,,4913.0,331100.0,,,,,,
1961-04-01,28999.5,,,15785.0,,10095.0,,4293.0,375500.0,,,,,,
1961-07-01,30920.5,,,15524.0,,10187.0,,3833.0,271300.0,,,,,,
1961-10-01,31655.8,,,15387.0,,10923.8,,3797.0,321700.0,,,,,,
1962-01-01,32619.0,,,15714.0,,10932.5,,4216.0,386000.0,,,,,,
1962-04-01,33330.8,,,16029.0,,10641.8,,4491.0,369800.0,,,,,,
1962-07-01,33753.5,,,16176.0,,10533.5,,4662.0,467300.0,,,,,,
1962-10-01,34166.0,,,16040.0,,10182.5,,4802.0,533400.0,,,,,,
1963-01-01,33375.3,,,15668.0,,10232.8,,4774.0,515400.0,,,,,,
1963-04-01,34161.0,,,16400.0,,10516.8,,4930.0,545100.0,,,,,,
1963-07-01,35028.3,,,16885.0,,10952.0,,5037.0,587200.0,,,,,,
1963-10-01,34913.5,,,17133.0,,11391.8,,5068.0,548100.0,,,,,,
1964-01-01,34880.8,,,17910.0,,11833.8,,5422.0,435000.0,,,,,,
1964-04-01,35665.8,,,17964.0,,12262.5,,5795.0,372500.0,,,,,,
