Date,Month,Quarter,Annual
1960-07-01,0.60946357,0.735356584,0.855038534
1960-08-01,0.617018534,0.740104852,0.856700726
1960-09-01,0.624271013,0.74686644,0.861769276
1960-10-01,0.634671021,0.756938632,0.867538876
1960-11-01,0.663408972,0.778732385,0.876255162
1960-12-01,0.680050599,0.794224902,0.885598374
1961-01-01,0.669985154,0.792111846,0.889366009
1961-02-01,0.664810922,0.790446333,0.891552975
1961-03-01,0.665789664,0.790198881,0.890185945
1961-04-01,0.669787086,0.788267784,0.884946861
1961-05-01,0.653033401,0.775601027,0.879870658
1961-06-01,0.638179219,0.765399536,0.876568018
1961-07-01,0.624941705,0.755759007,0.873315321
1961-08-01,0.620373762,0.751944052,0.87135173
1961-09-01,0.620109328,0.748850331,0.866477221
1961-10-01,0.618842675,0.744841033,0.860842308
1961-11-01,0.608628667,0.73614195,0.854675668
1961-12-01,0.597678276,0.728443902,0.850895475
1962-01-01,0.603812432,0.733144637,0.850674948
1962-02-01,0.602062807,0.733449172,0.849339339
1962-03-01,0.588447051,0.722644008,0.844987009
1962-04-01,0.589518838,0.721833454,0.841956544
1962-05-01,0.587875307,0.720019175,0.84072949
1962-06-01,0.582304579,0.714794561,0.838003059
1962-07-01,0.572400299,0.704582787,0.833017625
1962-08-01,0.56105507,0.69477411,0.827464094
1962-09-01,0.556733601,0.69011048,0.822350118
1962-10-01,0.554262026,0.685720317,0.817502981
1962-11-01,0.554180188,0.68236167,0.812187403
1962-12-01,0.55244785,0.677370055,0.807083
1963-01-01,0.551545141,0.673028256,0.802866972
1963-02-01,0.543155323,0.664350572,0.798319893
1963-03-01,0.533296133,0.656877102,0.796018621
1963-04-01,0.539011903,0.660718511,0.797446174
1963-05-01,0.53653643,0.658389016,0.796669057
1963-06-01,0.533954584,0.656412182,0.796284639
1963-07-01,0.532006019,0.655250138,0.796706651
1963-08-01,0.532588984,0.657353532,0.798257803
1963-09-01,0.53210232,0.657694485,0.797784472
1963-10-01,0.529363775,0.655957076,0.796687137
1963-11-01,0.536035519,0.661302912,0.797554799
1963-12-01,0.546313591,0.666528875,0.79745006
1964-01-01,0.553326974,0.669249694,0.797180227
1964-02-01,0.547393872,0.663930774,0.79483965
1964-03-01,0.538300034,0.656291739,0.792911288
1964-04-01,0.544344143,0.659137648,0.793625282
1964-05-01,0.529256951,0.650584572,0.793225826
1964-06-01,0.526488594,0.652143393,0.797342018
