Date,USA,Japan,Germany,UK,France,Canada,Italy,Australia,Korea,Mexico,Spain,Netherlands,Switzerland,Norway,Sweden
1955-01-01,109130300.0,58666670.0,,,,,,,,,,,,,
1955-04-01,109533700.0,58953330.0,,,,,,,,,,,,,
1955-07-01,109883700.0,59283330.0,,,,,,,,,,,,,
1955-10-01,110186000.0,59600000.0,,,,,,,,,,,,,
1956-01-01,110483300.0,60040000.0,,,,,,,,,,,,,
1956-04-01,110787700.0,60223330.0,,,,,,,,,,,,,
1956-07-01,111113300.0,60593330.0,,,,,,,,,,,,,
1956-10-01,111431000.0,60946670.0,,,,,,,,,,,,,
1957-01-01,111720300.0,61380000.0,,,,,,,,,,,,,
1957-04-01,112045300.0,61560000.0,,,,,,,,,,,,,
1957-07-01,112430700.0,61816670.0,,,,,,,,,,,,,
1957-10-01,112865700.0,62096670.0,,,,,,,,,,,,,
1958-01-01,113236300.0,62430000.0,,,,,,,,,,,,,
1958-04-01,113532000.0,62733330.0,,,,,,,,,,,,,
1958-07-01,113846300.0,63040000.0,,,,,,,,,,,,,
1958-10-01,114283300.0,63376670.0,,,,,,,,,,,,,
1959-01-01,114714300.0,63660000.0,,,,,,,,,,,,,
1959-04-01,115139000.0,64060000.0,,,,,,,,,,,,,
1959-07-01,115550700.0,64343330.0,,,,,,,,,,,,,
1959-10-01,115918000.0,64566670.0,,,,,,,,,,,,,
1960-01-01,116707700.0,64796670.0,,,,,,,,,,,,,
1960-04-01,117036700.0,65023330.0,,,,,,,,,,,,,
1960-07-01,117411000.0,65130000.0,,,,,,,,,,,,,
1960-10-01,117824300.0,65336670.0,,,,,,,,,,,,,
1961-01-01,118254300.0,65590000.0,,,,,,,,,,,,,
1961-04-01,118636000.0,65723340.0,,,,,,,,,,,,,
1961-07-01,119000700.0,66066660.0,,,,,,,,,,,,,
1961-10-01,119189700.0,66460000.0,,,,,,,,,,,,,
1962-01-01,119378700.0,66926660.0,,,,,,,,,,,,,
1962-04-01,119819300.0,67260000.0,,,,,,,,,,,,,
1962-07-01,120368000.0,67726660.0,,,,,,,,,,,,,
1962-10-01,121045700.0,68180000.0,,,,,,,,,,,,,
1963-01-01,121640000.0,68586660.0,,,,,,,,,,,,,
1963-04-01,122166700.0,69170000.0,,,,,,,,,,,,,
1963-07-01,122669700.0,69580000.0,,,,,,,,,,,,,
1963-10-01,123188700.0,70006660.0,,,,,,,,,,,,,
1964-01-01,123708000.0,70456660.0,,,,,,,,,,,,,
1964-04-01,124203000.0,71000000.0,,,,,,,,,,,,,
1964-07-01,124739300.0,71420000.0,,,,,,,,,,,,,
1964-10-01,125289000.0,71846660.0,,,,,,,,,,,,,
1965-01-01,125814000.0,72236660.0,,,,,,,,,,,,,
1965-04-01,126324700.0,72676660.0,,,,,,,,,,,,,
1965-07-01,126745000.0,73056660.0,,,,,,,,,,,,,
1965-10-01,127169300.0,73386660.0,,,,,,,,,,,,,
1966-01-01,127511300.0,73770000.0,,,,,,,,,,,,,
1966-04-01,127868700.0,74150000.0,,,,,,,,,,,,,
1966-07-01,128233700.0,74473340.0,,,,,,,,,,,,,
1966-10-01,128617000.0,74740000.0,,,,,,,,,,,,,
1967-01-01,129043700.0,75033340.0,,,,,,,,,,,,,
1967-04-01,129527000.0,75366660.0,,,,,,,,,,,,,
1967-07-01,130165700.0,75660000.0,,,,,,,,,,,,,
1967-10-01,130757300.0,76006660.0,,,,,,,,,,,,,
1968-01-01,131267000.0,76276660.0,,,,,,,,,,,,,
1968-04-01,131712299.99999999,76553340.0,,,,,,,,,,,,,
1968-07-01,132250000.0,76826660.0,,,,,,,,,,,,,
1968-10-01,132880000.0,77090000.0,,,,,,,,,,,,,
1969-01-01,133476000.0,77350000.0,,,,,,,,,,,,,
1969-04-01,134020299.99999999,77600000.0,,,,,,,,,,,,,
1969-07-01,134595000.0,77836660.0,,,,,,,,,,,,,
1969-10-01,135246700.0,78090000.0,,,,,,,,,,,,,
1970-01-01,135949700.0,78410000.0,,,,,,,,,,,,,
1970-04-01,136676700.0,78686660.0,,,,,,,,,,,,,
1970-07-01,137456000.0,78850000.0,,,,,,,,,,,,,
1970-10-01,138260300.0,79103340.0,,,,,,,,,,,,,
1971-01-01,139033700.0,79290000.0,,40512000.0,,,,,,,,,,,
1971-04-01,139827300.0,79613340.0,,40568000.0,,,,,,,,,,,
1971-07-01,140602700.0,79783340.0,,40618000.0,,,,,,,,,,,
1971-10-01,141401700.0,80003340.0,,40658000.0,,,,,,,,,,,
1972-01-01,143005300.0,80203340.0,,40697000.0,,,,,,,,,,,
1972-04-01,143758700.0,80460000.0,,40736000.0,,,,,,,,,,,
1972-07-01,144522700.0,81236660.0,,40777000.0,,,,,,,,,,,
1972-10-01,145215000.0,81560000.0,,40820000.0,,,,,,,,,,,
1973-01-01,145964300.0,81896660.0,,40866000.0,,,,,,,,,,,
1973-04-01,146719700.0,82113340.0,,40909000.0,,,,,,,,,,,
1973-07-01,147478300.0,82250000.0,,40952000.0,,,,,,,,,,,
1973-10-01,148226000.0,82506660.0,,40991000.0,,,,,,,,,,,
1974-01-01,148986700.0,82870000.0,,41030000.0,,,,,,,,,,,
1974-04-01,149746700.0,83133340.0,,41071000.0,,,,,,,,,,,
1974-07-01,150498000.0,83260000.0,,41112000.0,,,,,,,,,,,
1974-10-01,151253000.0,83456660.0,,41158000.0,,,,,,,,,,,
1975-01-01,151987300.0,83760000.0,,41204000.0,,,,,,,,,,,
1975-04-01,152707700.0,84076660.0,,41251000.0,,,,,,,,,,,
1975-07-01,153579000.0,84313340.0,,41299000.0,,,,,,,,,,,
1975-10-01,154336300.0,84613340.0,,41357000.0,,,,,,,,,,,
1976-01-01,155075000.0,84813340.0,,41416000.0,,16891700.0,,,,,,,,,
1976-04-01,155773700.0,85080000.0,,41473000.0,,17008100.0,,,,,,,,,
1976-07-01,156526700.0,85296660.0,,41534000.0,,17121430.0,,,,,,,,,
1976-10-01,157222000.0,85510000.0,,41604000.0,,17210970.0,,,,,,,,,
1977-01-01,157910700.0,85740000.0,,41674000.0,,17300700.0,,,,,,,,,
1977-04-01,158652300.0,85960000.0,,41743000.0,,17391430.0,,,,,,,,,
1977-07-01,159429700.0,86210000.0,,41814000.0,,17482730.0,,,,,,,,,
1977-10-01,160140300.0,86446660.0,,41886000.0,,17566970.0,,,,,,,,,
1978-01-01,160828700.0,86626660.0,,41959000.0,,17652230.0,,,,,,,,,
1978-04-01,161525300.0,86886660.0,,42030000.0,,17738670.0,,10521780.0,,,,,,,
1978-07-01,162265000.0,87136660.0,,42107000.0,,17822370.0,,10579270.0,,,,,,,
1978-10-01,163024000.0,87366660.0,,42186000.0,,17902170.0,,10610550.0,,,,,,,
1979-01-01,163756300.0,87626660.0,,42267000.0,,17987270.0,,10652380.0,,,,,,,
1979-04-01,164447000.0,87826660.0,,42348000.0,,18074000.0,,10697220.0,,,,,,,
1979-07-01,165199700.0,88036660.0,,42431000.0,,18161400.0,,10744540.0,,,,,,,
1979-10-01,166054700.0,88323340.0,,42521000.0,,18255000.0,,10794150.0,,,,,,,
