,SMALL LoPRIOR,ME1 PRIOR2,ME1 PRIOR3,ME1 PRIOR4,SMALL HiPRIOR,ME2 PRIOR1,ME2 PRIOR2,ME2 PRIOR3,ME2 PRIOR4,ME2 PRIOR5,ME3 PRIOR1,ME3 PRIOR2,ME3 PRIOR3,ME3 PRIOR4,ME3 PRIOR5,ME4 PRIOR1,ME4 PRIOR2,ME4 PRIOR3,ME4 PRIOR4,ME4 PRIOR5,BIG LoPRIOR,ME5 PRIOR2,ME5 PRIOR3,ME5 PRIOR4,BIG HiPRIOR
192701,-1.78,2.73,4.16,3.22,-4.95,-2.6,10.14,-0.45,1.68,1.44,-4.71,1.17,3.08,1.95,-1.04,-2.76,2.82,-0.42,1.91,2.78,-6.16,-1.12,0.32,0.38,-0.83
192702,6.57,5.68,6.34,7.87,8.52,4.6,7.69,5.5,7.21,5.88,6.33,8.8,6.64,7.59,6.86,7.78,13.48,3.59,3.96,5.35,5.42,5.35,3.56,2.87,5.48
192703,-4,4.03,-4.28,-3.7,-1.16,-4.07,-5.11,-0.35,0.28,-0.21,-5.63,-3.66,-1.94,-3.07,-1.51,-8.72,-5.03,-1.32,-0.42,2.25,3.85,-4.39,-1.41,1.82,3.47
192704,0.91,-0.94,0.17,7.44,-7.3,-1.13,0.55,-1.25,3.67,7.36,-7.68,-0.33,1.03,-0.55,3.43,-1.61,-2.49,0.81,0.14,0.98,-99.99,-2,0.8,0.59,4.11
192705,3.83,11.47,1.77,12.86,22.78,0.07,3.47,12.66,4.22,6.1,2.03,5.17,13.42,6.62,7.48,4.65,4.09,4.01,8.85,9.68,5.32,3.32,5.78,5.19,6.91
192706,-3.77,-3.59,0.75,-0.31,-9.28,-2.54,1.48,0.37,2.98,-4.2,-3.27,0.51,0.25,-2.04,-1.93,-5.9,-3.55,-2.11,-2.11,-1.87,-3.44,-3.05,-2.13,-1.83,-1.94
192707,3.43,4.61,4.15,5.57,8.84,5.87,7.59,4.38,2.94,6.41,3.4,2.07,2.51,4.62,10.84,7.95,4.98,7.18,8.09,5.09,2.49,4.58,8.18,8.22,11.66
192708,-0.07,-5.79,-3.19,-0.86,4.38,2.69,-0.06,2.42,1.81,-0.9,1.25,-3.79,2.04,2.21,-0.83,-1.23,4.05,1.65,0.28,-1.66,0.02,1.35,1.91,2.7,5.09
192709,1.81,-2.49,-1.21,5.01,2.2,2.41,0.33,-1.33,-0.01,3.54,3.84,3.67,2.01,3.71,3.94,2.06,5.19,3.12,3.96,9.01,0.14,3.72,5.21,4.93,6.32
192710,-7.54,-5.62,0.84,-1.03,-12.48,-2.54,-4.9,-2.16,0.73,-3.72,-3.2,-5.24,-0.67,-3.2,-1.02,-5.42,-2.84,-2.53,-2.09,-4.58,-1.59,-2.04,-3.68,-4.85,-5.77
192711,20.13,3.44,14.45,15.89,8.27,14.48,11.02,10.36,8.24,7.64,8.67,10.63,5.59,6.63,8.8,8.75,7.28,6.68,6.2,8.09,2.75,4.05,5.27,7.92,8.51
192712,3.52,-0.74,7.87,2.03,9.02,-0.03,2.53,10.67,-0.43,1.1,0.94,2.66,3.68,2.59,3.98,9.59,6.08,1.91,4.17,5.76,-1.95,0.8,1.22,1.09,5.01
192801,2.52,17.18,-2.99,0.51,6.53,4.41,0.24,3.28,4.25,6.38,-1.16,2.82,0.27,1.65,3.67,-2.23,-2.76,2.74,-1.03,0.58,-2.36,-1.67,-0.17,0.11,-1.9
192802,1.38,-1.43,7.39,-6.73,-5.04,-3.34,-3.17,-2.87,-6.11,-6.22,-4.38,-3.68,-1.8,-3.06,-3.67,-3.92,-2.88,-1.78,-2.81,-5.68,0.32,-0.92,-0.37,-1.88,-0.5
192803,5.84,5.31,5.69,-0.23,1.47,6.01,5.06,7.75,7.16,11.83,4.33,9.61,6.53,6.89,7.41,11.68,4.69,6.37,8.67,8.77,5.73,4.96,5.01,6.45,20.8
192804,11.18,35.04,17.05,6.71,9.39,8.1,2.86,28.92,3.62,6.58,5.58,7.35,6.87,6.25,8.62,5.34,4.76,10.95,1.39,4.67,9.26,11.06,3.34,2.05,0.74
192805,13.68,6.01,9.87,9.84,8.98,0.21,-0.85,5.04,4.07,1.52,0.65,3.6,-2.09,3.11,2.86,9.24,0.18,-0.83,1.33,2.23,-2.26,-2.22,1.55,1.68,4.72
192806,-9.39,-9.08,-13.5,-13.54,-12.07,-10.82,-8.97,-7.43,-6.33,-6.18,-5.72,-4.94,-3.69,-5.07,-6.22,-7.99,-6.23,-3.56,-6.32,-6.81,-8.52,-3.47,-3.65,-5.14,-3.31
192807,-1.04,5.43,-0.69,0.31,3.34,-2.48,-1.9,-1.99,0.57,-0.32,-0.82,-0.76,0.43,1.93,2.31,-0.76,-0.55,0.62,1.73,1.7,0.58,0.13,1.07,-0.21,2.51
192808,7.23,2.96,7.94,0.43,-1.8,1.43,3.73,3,8.83,7.3,9.51,3.3,6.95,7.44,5.71,4.89,6.54,8.47,7.63,12.38,4.8,4.3,6.34,9.17,9.8
192809,6.69,10.56,4.31,7.4,6.85,4.66,1.58,5.08,5.8,12.13,6.85,0.84,6.49,6.69,4.9,3.36,1.66,5.33,6.93,7.65,1.65,0.97,0.71,3.75,5.7
192810,0.92,-5.24,-3.06,2.25,10.16,-0.89,4.34,0.48,3.99,4.78,-5.8,2.21,0.22,1.19,6.55,-2.57,-0.08,0.64,-0.32,3.56,-1.44,0.84,1.21,3.45,3.28
192811,12.85,20.36,9.31,17.26,11.76,8.45,7.66,15.39,5.8,13.97,7.64,12.4,8.15,9.17,14.63,11.04,8.25,12.2,10.83,16.06,6.2,10.49,11.18,17.69,11.7
192812,-6.66,2.51,-2.76,-3.58,-7.74,-3.88,1.41,2.82,-0.17,-0.43,-0.91,1.76,2.42,-0.44,0.41,0.66,1.58,-0.73,1.9,3.35,0.37,-0.9,-1.33,2.83,0.52
192901,4.23,0.85,-3.24,0.36,3.59,-2.18,-0.2,1.34,5.07,0.55,-0.02,2.49,1.75,3.32,6.18,7,1.1,5.49,3.85,2.29,4.56,5.3,5.18,8.19,2.51
192902,-3.23,2.48,9.32,-2.47,-0.13,-0.87,-0.41,-3.14,6.19,5.79,1.25,1.92,-1.43,-0.44,5.69,2.26,-0.01,0,4.43,-1.03,-0.79,-2.88,-0.46,-0.47,1.95
192903,-2.42,-4.65,-9.75,-3.58,7.83,-4.71,-5.05,-4.05,-4.82,-0.89,-0.2,-4.78,-3.59,-4.89,-1.58,-6.39,0.85,-2.73,-5.46,-5.55,3.83,-1.97,3.14,0.24,-0.7
192904,-1.12,-4.17,1.62,2.83,2.86,2.14,1.53,0.94,-6.2,2.78,-3.83,-1.39,1.54,0.81,4.08,-6.2,0.33,0.94,3.49,1.51,-0.25,1.14,1.5,3.69,1.79
192905,-15.02,-15.43,-9.32,-11.01,-17.2,-10.66,-9.55,-12.08,-8.03,-18.95,-7.3,-8.33,-7.02,-8.43,-10.54,-4.37,-6.03,-3.52,-9.18,-10.87,-14.05,-1.39,-5.25,-3.1,-8.46
192906,4.07,1.59,3.59,4.08,19.79,5.14,3,5.3,6.91,14.74,1.67,5.33,7.84,10.21,13.91,-1.25,8.26,6.75,9.11,15.63,-99.99,5.13,5.78,12.46,15.06
192907,-1.55,1.53,-1.41,-14.14,-3.91,-0.93,-0.25,2.29,2.39,2.75,1.46,-0.15,4.88,-0.12,2.67,0.85,3.31,2.89,2.42,2.65,-99.99,-1.51,5.93,6.7,5.55
192908,-3.27,-2.32,-4.14,5.36,4.6,-1.46,-1.18,1.04,5.98,-2.51,3.83,-0.61,2.77,5.96,0.18,1.34,0.44,1.87,4.37,5.81,1.58,4.61,7.78,12.95,11.48
192909,-11.06,-6.81,-4.46,-7.13,-3.6,-6.3,-5.29,-2.88,-4.77,-3.5,-5.87,-1.82,-2.63,-1.53,-0.29,-13.96,-3.36,-3.51,-4.02,3.87,-12.51,-6.15,-4.63,-5.84,-5.08
192910,-19.96,-25.46,-17.64,-30.56,-28.77,-22.52,-19.28,-18.49,-22.51,-28.33,-35.14,-21.38,-17.5,-16.05,-17.27,-41.48,-20.29,-12.43,-20.07,-23.42,-30.2,-24.79,-11.53,-10.31,-21.88
192911,-13.55,-8.45,-19.48,-13.55,-1.52,-13.93,-10.24,-11.5,-8.47,-16.55,-15.37,-10.22,-8.87,-15.02,-15.37,-15.91,-7.97,-9.12,-10.32,-17.31,-15.38,-14.29,-7.68,-9.32,-13.96
192912,-12.04,-9.43,-7.32,-10.52,3.98,-15.33,0.58,-2.6,-2.84,-3.49,-7.4,-1.27,-2.33,1.06,2.19,-5.96,1.32,-1.44,-0.96,3.88,12.88,1.31,1.95,-0.76,3.51
193001,24.18,22.94,10.03,11.98,10.15,22.53,10.52,10.52,10.4,10.46,18.18,11.66,5.81,9.31,2.6,7.57,8.61,7.69,6.52,3.66,0.11,3.98,6.86,3.48,5.59
193002,5.67,6.92,4.23,3.83,4.35,0.44,3.6,0.09,2.49,6.71,5.41,3.78,2.66,2.18,2.35,-0.48,0.67,0.78,0.37,1.58,-0.98,0.97,3.19,2.83,2.91
193003,23.08,9.61,8.96,16.53,15.39,8.83,8.29,6.28,5.85,10.97,13.06,10.01,17.23,5.89,10.36,8.66,5.43,7.3,6.02,6.48,-7.76,13.77,5.8,6.24,7.23
193004,-2.33,-7.79,-7.52,-7.29,-5.81,-2.13,-5.71,-4.63,-9.89,2.66,-5.72,-6.17,-6.19,-6.03,2.18,4.51,-11.18,-3.72,-6.26,-1.9,9.82,-10.66,0.21,-2.44,-1.12
193005,-8.87,-6.83,-10.05,1.36,-7.17,-7.89,-3.69,-2.46,-2.79,-3.62,-4.45,-2.57,-2.95,0.44,-1.18,-0.39,-2.18,-4.85,-4.22,-2.57,-6.02,5.66,-0.69,-2.73,-0.89
193006,-20.9,-17.8,-22.86,-14.42,-29.62,-30.13,-24.12,-21.39,-14.65,-15.03,-26.73,-20.36,-16.53,-11.12,-18.66,-24.33,-20.06,-15.57,-13.56,-18.31,-23.39,-18.23,-18.87,-11.88,-15.29
193007,4.56,1.19,2.09,-0.19,14.37,1.66,3.44,7.44,1.72,2.72,11.69,2.42,3.73,2.35,4.7,5.83,3.69,6.28,3.67,3.04,2.18,6.48,8.21,3.97,2.96
193008,-6.11,-2.52,0.86,-8.19,-1.42,-1.6,-2.8,-2.52,-3.25,2.22,-4.43,-2.55,-5.19,1.01,0.77,-1.81,-2.63,0.9,-0.25,0.27,4.53,-4.29,1.68,1.45,0.5
193009,-23.61,-20.54,-15.97,-20.31,-3.46,-20.27,-21.05,-15.54,-10.94,-12.67,-21.73,-14.15,-17.22,-10.35,-11.89,-22.9,-17.02,-12.52,-13.64,-8.99,-23.26,-20.18,-12.73,-10.18,-11.09
193010,-11.65,-20.78,-4.07,-10.96,-3.43,-14.41,-9.5,-13.97,2.26,-6.74,-18.03,-9.88,-10.87,-8.42,-8.74,-12.12,-13.51,-11.19,-6.34,-6.88,-16.81,-17.63,-10.17,-6.29,-8.51
193011,-0.48,-0.93,-3.1,-8.96,11.6,0.24,-3.29,-2.26,1.61,-1.15,-2.11,-3.78,-2.24,-3.71,-0.72,4.7,-1,-3.91,-2.12,-0.91,5.97,-2.13,-3.04,-1.97,-3.27
193012,-23.18,-20.48,-25.25,-18.89,-14.49,-24.85,-21.16,-14.61,-13.9,-12.57,-12.4,-14.49,-9.05,-12.57,-5.43,-14.8,-13.55,-11.61,-10.18,-5.62,-21.48,-16,-10.25,-6.06,-4.23
193101,26.82,19.05,20.44,12.39,20.71,23.52,16.27,10.02,15.26,15.96,16.04,10.31,13.46,8.83,6.26,13.02,11.49,7.13,6.52,5.25,22.93,8.57,7.34,4.23,5.8
193102,33.87,21.38,24.62,40.09,7.4,21.17,15.79,12.87,12.35,5.65,17.04,20.14,15.1,11.9,11.32,30.05,13.34,14.67,8.37,4.6,43.21,22.36,15.16,10.28,7.35
193103,-8.54,-3.06,-2.29,-15.48,10.75,-14.3,-4.12,-1.35,-8.21,0.36,-15.79,-8.25,-7.32,-5.29,-0.42,-16.7,-12.89,-10.44,-6.56,-0.08,-14.86,-10.96,-7.28,-6.6,-4.11
193104,-23.31,-22.22,-13.15,-15.22,-16.3,-20.11,-20.65,-18.43,-10.94,-10.27,-20.96,-17.53,-15.72,-17.21,-11.41,-20.68,-15.81,-17.91,-10.8,-8.28,-15.81,-20.19,-12.62,-9.65,-5.08
193105,-17.93,-9.31,-13.77,-11.63,0.53,-18.57,-15.36,-14.02,-7.58,-8.69,-22.2,-16.23,-15.8,-11.99,-6.81,-25.21,-22.46,-17.47,-11.9,-10.3,-14.88,-14.09,-14.92,-13.41,-10.93
193106,25.68,19.67,29.24,10.51,28.09,29.92,16.34,18.01,9.15,7.81,30.81,23.12,13.35,10.02,7.68,40.8,30.44,23.43,11.32,8.94,39.29,20.92,16.79,13.53,10.21
193107,-9.99,-11.3,-3.23,0.64,-7.24,-10.94,-8.75,-4.62,-4.35,-2.83,-15.87,-11.6,-6.53,-7.64,-3.09,-12.15,-14.32,-7.03,-1.74,-3.43,-16.48,-10.89,-9.7,-6.24,-3.38
193108,-5.58,-8.45,-7.06,2.73,1.87,2.32,-1.65,-1.7,-4.5,-4.45,-6.62,-1.35,0.61,-4.48,0.66,8.31,-1.17,-0.58,-3.05,-0.42,0.31,5.14,1.55,-2.8,0.74
