,SMALL LoPRIOR,ME1 PRIOR2,ME1 PRIOR3,ME1 PRIOR4,SMALL HiPRIOR,ME2 PRIOR1,ME2 PRIOR2,ME2 PRIOR3,ME2 PRIOR4,ME2 PRIOR5,ME3 PRIOR1,ME3 PRIOR2,ME3 PRIOR3,ME3 PRIOR4,ME3 PRIOR5,ME4 PRIOR1,ME4 PRIOR2,ME4 PRIOR3,ME4 PRIOR4,ME4 PRIOR5,BIG LoPRIOR,ME5 PRIOR2,ME5 PRIOR3,ME5 PRIOR4,BIG HiPRIOR
1927,22.58,11.95,35.05,66.67,26.27,17.03,38.75,47.29,38.37,33.81,0.57,22.41,43.68,29.69,45.28,13.7,37.81,24.36,37.4,47.86,-99.99,10.44,27.22,32.21,58.25
1928,51.62,122.15,41.14,18.59,32.52,10.55,11.48,71.33,34.76,61.52,15.19,38.71,34.21,40.77,56.36,30.14,15.14,46.79,32.59,57.25,13.88,24.77,26.92,45.65,65.95
1929,-55.63,-53.65,-49.42,-59.44,-19.59,-54.21,-39.26,-37.93,-30.24,-43.77,-53.85,-35.69,-24.13,-25.21,-14.04,-63.07,-22.45,-15.38,-23.42,-25.75,-99.99,-33.62,-0.4,11.72,-13.54
1930,-42.41,-50.23,-51.8,-47.7,-18.12,-56.62,-53.21,-45.4,-29.79,-18.73,-45.41,-41.03,-37.55,-29.11,-24.19,-42.45,-50.34,-36.26,-35.31,-28.32,-58.98,-49.22,-29.31,-22.71,-24.58
1931,-54.31,-46.04,-28.41,-29.83,-15.89,-55.11,-54.26,-50.14,-44.86,-30.32,-70.96,-56.04,-47.02,-48.68,-22.3,-65.2,-63.44,-50.92,-43.35,-21.68,-53.31,-53.48,-50.42,-45.4,-32.82
1932,65.69,29.52,46.1,-22.28,-31.44,7.75,17.99,4.98,-31.35,-16.4,2.7,5.9,-10.7,-25.67,-24.56,8.76,-5.83,6.45,-21.44,-3.7,4.18,-13.08,1.61,-12.88,-16.34
1933,172.36,277.25,285.86,385.05,199.86,115.19,169.8,142.53,175.85,123.72,70.6,117.71,111.57,111.79,56.65,36.47,90.52,108.01,149.49,118.27,56.62,69.75,57.9,62.51,74.5
1934,23.17,80.09,42.74,37.88,32.3,1.81,15.17,7.96,54.55,50.1,-12.63,9.69,13.01,21.52,20.56,1.05,2.62,3.92,10.79,17.31,-7.58,-6.84,-5.05,0.28,-1.16
1935,65.76,48.31,102.69,99.62,55.37,44.99,61.84,70.41,62.42,80.95,44.76,57.58,39.55,77.68,87.8,39.75,38.22,26.19,37.53,69.62,124.1,31.55,41.82,47.77,60.41
1936,92.24,102.69,68.01,83.2,47.07,40.31,51.67,41.8,84.49,47.32,44.04,47.14,56.83,48.84,63.87,13.71,24.71,34.36,46.81,52.61,27.87,28.7,31.82,29.79,54.96
