,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
1927,26.23,41.88,-99.99,64.22,47.72,-22.67,15.66,8.97,43.03,43.13,-99.99,49.93,45.55,57.08,-99.99,31.06,20.55,-21.25,35.99,-99.99,46.24,56.9,64.84,156.17,33.76,-99.99,-99.99,61.64,13.58,0.62,35.38,25.31,-99.99,68.74,73.15,-99.99,33.32,30.06,-99.99,53.67,22.66,-45.47,43.54,32.14,24,119.97,19.9,41.6,24.64
1928,2.46,27.95,-99.99,38.8,-2.3,44.33,46.38,35.48,59.07,7.74,-99.99,39.37,49.83,56.52,-99.99,-9.7,41.17,37.24,53.45,-99.99,47.06,81.96,60.63,239.4,5.55,-99.99,-99.99,26.45,-0.39,37.33,61.61,20.28,-30.27,39.56,72.33,-99.99,46.41,16.53,-99.99,32.66,15.66,24.16,55.26,28.12,62.95,14.67,42.25,37.18,-8.47
1929,-16.27,-14.62,-99.99,-16.07,-7.17,-57.07,-35.91,-4.72,-34.99,-28.47,-99.99,-20.98,-26.19,1.08,-99.99,-50.66,-23.87,19.25,-12.24,-99.99,-10.79,1.13,-50.8,-60.43,-3.6,-99.99,-99.99,-22.68,-5.47,-11.57,13.55,20.7,-59.04,-0.99,1.91,-99.99,-27.41,4.38,-99.99,3.55,1.35,-49.56,-41.34,-4.9,-31.46,-36.61,2,-28.04,-62.25
1930,-47.79,-11.24,-99.99,-53.28,-3.24,-20.45,-13.95,-15.73,-42.26,-20.63,-99.99,-16.13,-14.35,-26.49,-99.99,-38.28,-44.83,-33.39,-38.71,-99.99,-30.87,-40.42,-22.03,-52.57,-38.67,-99.99,-99.99,-37.25,-41.77,-35.08,-21.18,-9.81,-38.24,-29.28,-33.74,-99.99,-56.66,-13.94,-83.9,-14.61,-29.25,-47.91,-35.1,-29.47,-19.14,-28.54,-61.34,-52.16,-32.66
1931,-48.67,-33.53,-99.99,-43.07,-20.18,-67.55,-74.4,-65.88,-36.51,-24.27,-99.99,-28.78,-11.41,-40.92,-34.66,-28.56,-53.69,-64.21,-63.72,-99.99,-60.13,-46.73,-33.97,-29.86,-58.95,-99.99,-99.99,-45.33,-67.18,-45.91,-39.83,-30.77,85.54,-64.28,-43.75,-99.99,-62.83,-40.02,-61.7,-38.1,-60.86,-60.86,-25.2,-46.16,-36.98,-47.64,-66.34,-53.22,-0.32
1932,11.94,-5.33,-99.99,13.03,-6.66,-42.77,-33.77,-46.78,-22.78,-21.67,-99.99,-27.49,-21.78,-10.63,-31,-12.75,5.84,-28.32,-20.59,-99.99,-18.97,-27.08,-30.9,31.15,-0.26,-99.99,-99.99,6.79,1.51,17.93,-1.74,-3.67,-47.77,-23.7,-16.94,-99.99,-28.08,-28.2,-55.56,0.29,-17.44,-44.95,-14.11,-25.31,12.81,-21.82,-61.96,30.34,-12.22
1933,156.93,41.32,-99.99,189.18,52.58,87.09,55.6,53.33,38.4,93.81,-99.99,-12.1,19.17,130.4,169.02,97.95,110.29,1.41,125.35,-99.99,99.23,42.13,165.23,32.38,186.12,-99.99,-99.99,100.41,24.12,77.73,-27.8,16.36,-25.21,72.79,89.26,-99.99,148.45,54.33,125,97.9,73.11,109.51,58.89,-3.41,131.17,51.35,76.43,6.37,159.39
1934,33.4,9.24,-99.99,-11.62,30.76,-15.36,17.86,36.81,18.21,12.55,-99.99,30.03,21.62,4.63,34.33,5.55,8.54,-33.8,-6.54,-99.99,20.47,8.15,-1.43,3.34,-5.49,-99.99,-99.99,0.49,0.21,-5.89,-22.18,0.87,66.61,-24.39,15.43,-99.99,46.96,44.53,72.22,23.08,-7.85,41.71,25.11,14.62,98.87,48.49,-25.36,-10.5,34.34
1935,-7.43,23,-99.99,31.13,18.61,60.95,78.39,16.5,21.34,16.13,-99.99,2.91,20.84,44.68,47,40.76,62.23,139.91,55.73,-99.99,72.6,84.17,75.69,67.81,11.6,-99.99,-99.99,36.95,-10.2,37.34,83.8,61.26,31.43,140.97,51.97,-99.99,118.74,44.74,74.19,30.88,23.41,14.12,18.67,25.14,17.42,33.9,96.68,92.7,30.03
1936,31.31,19.84,-99.99,5.38,4.35,79.72,58.47,3.99,24.83,10.17,-99.99,-6.8,18.12,36.55,31.05,42.6,35.5,87.61,65.45,-99.99,56.15,39.83,24.79,36.99,72.06,-99.99,-99.99,39.96,19.85,40.55,20.27,25.48,151.71,-6.26,23.87,-99.99,68.62,16.57,96.3,-0.42,37.48,49.09,33.37,66.2,59.83,6.33,53.89,29.81,-3.85
