,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
1927,14.89,39.43,33.08,15.49,29.35,45.41
1928,23.93,40.49,44.62,20.82,32.04,58.38
1929,-48.85,-37.2,-35.39,-38.28,-4.18,-9.51
1930,-51.52,-40.15,-28.58,-49.75,-33.53,-21.33
1931,-59.94,-46.62,-36.67,-59.71,-50.78,-35.36
1932,15.26,5.33,-15.92,-4.01,-6.02,-16.33
1933,126.02,133.69,130.76,49.8,60.74,83.56
1934,13.52,16.16,40.73,-8.66,-1.35,1.25
1935,48.72,55.58,83.54,44.81,42.3,56.72
1936,56.36,57.15,55.39,22.93,33.78,35.57
1937,-49.49,-45.39,-52.81,-30.67,-35.22,-36.34
1938,36.05,44.95,38.02,29.8,37.61,22.56
1939,5.22,-0.25,5.95,0.65,4.85,0.6
1940,-11.27,-6.79,4.19,-6.78,-5.09,-10.63
1941,-10.41,-13.24,-5.2,-17.63,-11.49,-4.37
1942,36.87,31.5,23.39,26.61,14.05,9.34
1943,60.59,58.3,74.45,22.29,27.43,38.15
1944,43.2,41.52,49.17,17.49,21.94,32.77
1945,66.71,67.94,67.47,31.67,39.67,61.11
1946,-16.54,-7.22,-9.59,-10.05,-2.22,-5.89
1947,-11.25,-0.48,10.11,-3.81,7.7,3.53
1948,-13.27,-3.45,1.45,-3.02,0.95,5.45
1949,20.26,19.99,24.89,24.88,18.66,21.53
1950,37.27,33.77,46.98,18.78,29.09,40.47
1951,10.56,13.48,18.91,14.16,20.73,29.12
1952,2.72,11.21,13.35,9.19,12.83,16.81
1953,-13.81,-2.43,5.77,-7.79,1.75,5.1
1954,59.23,56.57,62.49,39.41,46.13,56.57
1955,15.69,19.91,28.76,15.51,27.52,30.25
1956,-4.63,5.93,22.1,-0.21,9.44,11.3
1957,-23.61,-13.33,-14.3,-18.74,-6.84,-8.21
1958,72.41,58.39,62.78,52.28,43.3,42.44
1959,7.84,19.92,25.98,1.89,14.18,22.94
1960,-12.93,-2.46,4.51,-6.96,-3.1,10.21
1961,25.43,29.95,40.7,19.84,28.44,27.28
1962,-22.01,-8.29,-13.73,-20.66,-10.03,-4.99
1963,11.85,18.32,27.88,15.17,20.04,22.44
1964,12.98,20.83,18.47,15.94,13.64,18.97
1965,26.78,35.15,47.95,9.6,7.19,30
1966,-10.51,-7.48,-2.65,-13.56,-9.11,-0.7
1967,64.02,67.7,96.58,27.99,15.1,40.69
1968,36.52,39.11,42.68,15.59,8.61,13.9
1969,-34.86,-25.97,-19.4,-12.27,-11.19,-7.73
1970,-15.43,-3.72,-12.36,6.9,7.83,-3.99
1971,13.27,16.53,27.52,22.78,14.77,16.19
1972,-3.49,5.71,9.93,6.59,18.39,23.71
1973,-47.95,-30.66,-22.53,-43.92,-19.19,-10.38
1974,-33.17,-26.02,-23.15,-29.81,-27.39,-23.38
1975,66.49,55.12,50.55,51.57,35.59,29.71
1976,45.21,51.57,49.71,15.42,32.06,25.8
1977,8.11,19.2,25.96,-13.37,-2.97,4.07
1978,15.57,17.64,24.71,4.42,4.39,18.98
1979,29.32,33.21,56.73,14.18,15.49,39.86
1980,21.85,25.89,60.46,19.25,22.14,54.98
1981,-1.33,11.84,4.26,7,-2.58,-15.1
1982,3.87,31.22,44.14,6.57,18.29,35.77
1983,34.31,33.99,30.47,29.48,18.52,12.98
1984,-16.03,2.89,2.98,2.85,8.09,1.65
1985,17.15,33.49,42.27,28.24,35.29,32.48
1986,-3.44,10.46,13.94,17.19,18.3,20.62
1987,-11.54,-5.18,-5.27,17.79,-2.95,4.59
1988,19.04,23.59,25.27,29.81,16.98,13.55
1989,1.57,18.46,27.48,12.26,28.83,41.87
1990,-34.74,-17.98,-12.51,-16.88,-4.05,-2.49
1991,33.93,41.69,64.64,44.85,29.27,43.54
1992,14.18,20.32,22.27,8.03,9.12,6.79
1993,6.84,18.33,29.26,0.11,5.7,25.06
1994,-8.75,-1.17,0.93,1.73,0.18,-1.53
1995,13.59,29.94,43.09,32.41,36.66,38.99
1996,13.61,21.32,20.88,17.59,21.86,23.1
1997,14.34,33.98,32.16,27.51,29.88,32.59
1998,-16.41,-0.25,5.94,15.02,18.34,38.84
1999,16.37,4.34,54.04,4.53,1.33,37.24
2000,-23.28,9.17,8.97,-13.39,-0.52,-14.82
2001,19.83,25.3,19.88,-18.23,-6.45,-9.44
2002,-39.74,-10.15,-7.09,-31.77,-17.88,-13.02
2003,78.99,46.49,54.95,52.37,23.57,27.72
2004,18.02,21.55,18.15,10.73,11.09,9.75
2005,-3.1,6.06,12.51,1.77,5.49,15.77
2006,17.66,17.36,13.73,21.53,14.38,9.86
2007,-12.1,-1.97,4.72,-8.63,3.89,18.69
2008,-45.03,-35.4,-36.76,-55.28,-30.87,-36.5
2009,121.94,43.78,10.95,71.26,38.01,15.99
2010,29.92,26.38,34.05,16.25,12.9,25.96
2011,-15.23,0.26,-2.48,-5.37,6.07,-3.78
2012,16.38,15.73,22.31,18.78,15.82,15.51
2013,43.36,43.05,51.43,29.34,36.36,36.25
2014,1.77,8.76,2.38,11.29,13.39,12.73
2015,-18.36,-2.74,1.13,-16.07,0.84,5.4
2016,28.51,28.06,11.6,30.75,14.73,5.1
2017,14.48,15.67,18.44,19.82,21.3,25.12
2018,-15.4,-12.1,-6.95,-12.76,-5.1,-1.44
2019,21.08,25.58,24.72,36.62,32.93,27.7
2020,34.53,10.17,32.83,11.37,16.91,28.57
2021,16.97,26.78,29.04,29.49,38.14,12.61
2022,-31.38,-9.94,-12.64,-26.22,-20.29,-13.98
2023,20.93,16.74,13.22,59.53,22.54,18.9
