Date,EEM,EFA,EWC,IEV,EPP,IWB,,,,,,
200401,0.029556914,0.027022941,0.021322664,0.030491964,0.034360076,0.029450158,,,,,,
200402,0.039547721,0.022990189,0.026554356,0.033103323,0.044004395,0.013155981,,,,,,
200403,0.005500199,0.000706863,-0.006807222,-0.035454658,-0.003227142,-0.01801681,,,,,,
200404,-0.098006104,-0.033898508,-0.084304414,-0.018763619,-0.075972314,-0.014702873,,,,,,
200405,0.011686885,0.011403489,0.017215807,0.019749371,0.007444159,0.013970879,,,,,,
200406,0.009241504,0.033535856,0.057395233,0.022440907,0.009151959,0.014608232,,,,,,
200407,-0.036379308,-0.042657317,-0.000696023,-0.037883473,0.000682374,-0.029125155,,,,,,
200408,0.035312388,0.011906336,-0.005571045,0.010781388,0.03338156,0.002370477,,,,,,
200409,0.069767988,0.020717678,0.082633111,0.030916824,0.052743408,0.007599863,,,,,,
200410,0.028463458,0.035006949,0.064036359,0.041985338,0.040532476,0.020784754,,,,,,
200411,0.099487014,0.06081294,0.049847921,0.061591314,0.067955737,0.043857915,,,,,,
200412,0.034809998,0.032206387,0.001157954,0.02006259,0.007763218,0.025746186,,,,,,
200501,0.006859036,-0.003958971,-0.034398294,0.001799347,0.028475949,-0.015843788,,,,,,
200502,0.096822427,0.037850202,0.066666678,0.044030467,0.040517229,0.02141055,,,,,,
200503,-0.079102677,-0.026233948,0.014204559,-0.024579397,-0.038295097,-0.021732631,,,,,,
200504,-0.012475871,-0.016176472,-0.061064415,-0.016578403,0.007600664,-0.011217051,,,,,,
200505,0.031607683,-0.008637446,0.027446243,-0.00566423,-0.005872142,0.03451015,,,,,,
200506,0.039690269,0.014327197,0.054007049,0.01044367,0.041321273,0.000154725,,,,,,
200507,0.076815308,0.029967609,0.058402451,0.033154322,0.031879625,0.043757086,,,,,,
200508,0.013229929,0.038362003,0.061946686,0.030271351,0.01569017,-0.009090474,,,,,,
200509,0.086533675,0.03694427,0.057352926,0.015762902,0.042268469,0.006015838,,,,,,
200510,-0.063383648,-0.031841638,-0.072786254,-0.030415786,-0.056864654,-0.017688064,,,,,,
200511,0.057861719,0.023111246,0.052499699,0.015364831,0.01711963,0.04006759,,,,,,
200512,0.049346044,0.032667217,0.040380396,0.018536971,-0.006385081,-0.004558662,,,,,,
200601,0.154729818,0.077338174,0.097856468,0.082595583,0.101226545,0.029789184,,,,,,
