Date,Month,Quarter,Annual
1960-07-01,0.878238713,0.920849463,0.97595573
1960-08-01,0.893272579,0.931114286,0.978568085
1960-09-01,0.908933417,0.943879093,0.98276782
1960-10-01,0.885453567,0.92715896,0.978133094
1960-11-01,0.878115874,0.922149311,0.976998001
1960-12-01,0.874642524,0.919036704,0.975746359
1961-01-01,0.883960483,0.925904624,0.976994965
1961-02-01,0.86834879,0.913188642,0.972248064
1961-03-01,0.850916272,0.899368078,0.967532158
1961-04-01,0.832588007,0.884933338,0.963250461
1961-05-01,0.826080065,0.879704383,0.96173792
1961-06-01,0.824839987,0.878914839,0.961811977
1961-07-01,0.807379653,0.865659182,0.958305427
1961-08-01,0.806698123,0.864426156,0.957990948
1961-09-01,0.814192611,0.870275426,0.959924285
1961-10-01,0.816135101,0.87234945,0.961219668
1961-11-01,0.828395633,0.881486178,0.964037103
1961-12-01,0.837430413,0.889423652,0.967019444
1962-01-01,0.855851728,0.905082699,0.972855753
1962-02-01,0.881008396,0.925448343,0.979728003
1962-03-01,0.93146756,0.964465121,0.992063937
1962-04-01,1.004025109,1.020424043,1.009363317
1962-05-01,1.058704086,1.061499186,1.021754615
1962-06-01,1.060077225,1.063641794,1.023261013
1962-07-01,1.030916829,1.042010997,1.01670593
1962-08-01,1.006821034,1.023372798,1.010089581
1962-09-01,1.010986616,1.025928291,1.00952267
1962-10-01,0.998329856,1.016089986,1.005923036
1962-11-01,1.011517347,1.024689868,1.007001916
1962-12-01,0.947126366,0.974973423,0.990796402
1963-01-01,0.904386728,0.940735696,0.978701469
1963-02-01,0.842690306,0.892806442,0.963292171
1963-03-01,0.795320774,0.854825199,0.950248899
1963-04-01,0.764531587,0.829076464,0.940291189
1963-05-01,0.738366587,0.806698228,0.931189863
1963-06-01,0.718314916,0.789807375,0.924403747
1963-07-01,0.699816039,0.774548881,0.918726188
1963-08-01,0.693422506,0.768624251,0.915731489
1963-09-01,0.676213914,0.753894644,0.90953916
1963-10-01,0.658118283,0.73814466,0.902961128
1963-11-01,0.645158767,0.726234489,0.897337774
1963-12-01,0.627685075,0.711668008,0.891290069
1964-01-01,0.618170673,0.703193268,0.887132131
1964-02-01,0.610472681,0.696424657,0.8839839
1964-03-01,0.606802766,0.693113058,0.882213917
1964-04-01,0.600827407,0.688147606,0.880241453
1964-05-01,0.594033713,0.682449006,0.878108886
1964-06-01,0.592730447,0.681119676,0.877549672
1964-07-01,0.599015068,0.686406772,0.879652723
1964-08-01,0.606373401,0.692645441,0.881933011
1964-09-01,0.613407648,0.698809544,0.884414578
1964-10-01,0.616805995,0.702219613,0.886084624
1964-11-01,0.628056057,0.711989801,0.889958752
1964-12-01,0.646663321,0.727741507,0.895915735
1965-01-01,0.673317817,0.749743475,0.903837662
1965-02-01,0.676393369,0.752796509,0.905509291
1965-03-01,0.689036224,0.763703615,0.909836666
1965-04-01,0.716383116,0.785994621,0.917538477
