Industry,4yr,4yr Rolling,5yr,5yr Rolling,6yr,6yr Rolling,7yr,7yr Rolling,8yr,8yr Rolling,9yr,9yr Rolling,10yr,10yr Rolling,,,,,,,
Agric,3.94E-03,1.26E-01,1.01E-02,8.34E-02,6.53E-03,1.29E-01,6.17E-03,6.39E-03,2.19E-04,3.27E-02,6.28E-02,5.78E-02,2.34E-02,1.92E-02,,,,,,,
Food,1.30E-04,1.78E-01,4.53E-02,1.11E-01,1.29E-01,1.28E-01,1.07E-01,1.27E-02,5.00E-02,1.29E-01,0.000868029,7.02E-02,9.81E-02,2.17E-02,,,,,,,
Soda,7.38E-02,6.69E-03,1.20E-02,1.09E-02,1.65E-02,1.09E-02,2.91E-02,1.02E-01,4.30E-02,2.09E-03,0.107316129,1.92E-02,3.02E-02,1.62E-03,,,,,,,
Beer,1.27E-02,5.70E-03,2.10E-03,2.90E-03,1.23E-02,5.65E-04,1.17E-02,1.67E-02,6.68E-02,8.21E-03,0.091076819,5.17E-04,7.00E-03,1.73E-03,,,,,,,
Smoke,4.70E-02,8.94E-02,1.23E-01,6.66E-02,1.20E-01,5.18E-02,1.04E-01,3.76E-04,1.88E-01,5.81E-03,0.038660157,1.30E-03,1.42E-01,3.43E-02,,,,,,,
Toys,1.26E-01,1.56E-03,1.18E-01,6.07E-06,1.15E-01,6.77E-06,1.47E-01,4.91E-01,8.26E-03,1.06E-02,0.007926327,4.17E-02,4.11E-02,5.74E-02,,,,,,,
Fun,8.30E-03,1.99E-02,5.27E-02,1.10E-02,6.32E-02,1.53E-02,6.65E-02,7.71E-02,7.93E-02,2.18E-01,0.067607704,3.20E-01,5.27E-03,1.54E-01,,,,,,,
Books,1.02E-01,7.79E-03,6.13E-02,7.84E-04,5.16E-02,7.95E-04,4.80E-02,9.51E-02,1.83E-01,1.22E-01,0.142755512,1.63E-01,4.18E-02,6.50E-02,,,,,,,
Hshld,1.74E-01,1.42E-01,3.47E-02,7.12E-02,2.66E-02,7.89E-02,3.68E-02,1.60E-01,9.89E-02,4.52E-02,0.075040166,3.21E-02,2.01E-01,8.94E-02,,,,,,,
Clths,8.33E-02,3.99E-02,1.41E-01,2.37E-02,2.33E-01,2.05E-02,3.00E-01,3.49E-01,4.06E-02,6.04E-02,0.071704376,1.49E-01,2.98E-02,1.30E-01,,,,,,,
Hlth,7.37E-03,5.16E-02,1.92E-02,4.72E-02,1.02E-02,2.37E-02,6.21E-03,1.71E-01,2.74E-01,6.07E-05,0.002892287,1.39E-04,1.40E-01,2.50E-07,,,,,,,
MedEq,4.84E-02,4.26E-03,1.14E-01,6.44E-04,1.20E-01,4.12E-04,1.15E-01,3.04E-01,1.47E-01,2.40E-02,0.155116777,3.65E-02,2.02E-02,1.89E-03,,,,,,,
Drugs,1.26E-01,6.48E-02,1.02E-01,1.42E-01,1.70E-01,1.64E-01,2.26E-01,2.90E-04,5.87E-04,1.04E-01,0.285997183,9.11E-02,9.15E-02,4.71E-04,,,,,,,
Chems,4.08E-02,8.91E-02,1.14E-01,4.99E-02,1.38E-01,5.64E-02,1.19E-01,2.59E-01,2.68E-02,1.70E-01,0.005901942,2.04E-01,7.71E-03,8.41E-02,,,,,,,
Rubbr,2.24E-02,1.58E-02,4.86E-02,1.87E-03,4.93E-02,1.11E-03,5.64E-02,1.15E-01,7.91E-03,5.06E-02,0.022984172,1.35E-01,8.39E-02,1.62E-01,,,,,,,
